Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.16 [0.98-1.38],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-FC%,1.11 [0.92-1.33],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE%,1.02 [0.86-1.22],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-C%,1.02 [0.85-1.21],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,1.00 [0.84-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.99 [0.84-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Remnant-C,0.88 [0.74-1.03],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,0.87 [0.74-1.03],1.000,,VLDL Cholesterol
Non-HDL-C,0.87 [0.74-1.03],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.87 [0.73-1.03],1.000,,Total-Cholesterol
