Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Leu,1.06 [0.97-1.17],1.000,,Leucine
Ile,1.06 [0.97-1.16],1.000,,Isoleucine
Phe,1.06 [0.96-1.16],1.000,,Phenylalanine
M-LDL-PL%,1.02 [0.93-1.12],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,1.02 [0.93-1.12],1.000,,Tyrosine
Citrate,1.00 [0.91-1.10],1.000,,Citrate
Total-FC,0.97 [0.88-1.07],1.000,,Total-Free Cholesterol
LDL-FC,0.97 [0.88-1.06],1.000,,Free Cholesterol in LDL
HDL-FC,0.91 [0.82-1.01],1.000,,Free Cholesterol in HDL
M-LDL-FC%,0.89 [0.80-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
