Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.21 [1.02-1.44],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Gly,1.02 [0.87-1.20],1.000,,Glycine
M-LDL-C%,1.02 [0.85-1.22],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-CE%,1.01 [0.85-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.01 [0.83-1.22],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.98 [0.82-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Glu,0.91 [0.76-1.09],1.000,,Glucose
Citrate,0.89 [0.75-1.07],1.000,,Citrate
Creatinine,0.89 [0.71-1.11],1.000,,Creatinine
HDL-FC,0.88 [0.73-1.07],1.000,,Free Cholesterol in HDL
