Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.26 [1.22-1.31],6.420e-29,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.25 [1.20-1.30],8.520e-22,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.25 [1.20-1.30],1.042e-25,***,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.24 [1.19-1.29],1.002e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.22 [1.17-1.27],5.305e-18,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.21 [1.16-1.26],2.737e-15,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.21 [1.17-1.26],1.009e-19,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-HDL-TG%,1.21 [1.16-1.26],6.794e-17,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.21 [1.16-1.26],1.470e-15,***,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.21 [1.16-1.25],1.910e-19,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.20 [1.16-1.25],3.605e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,1.20 [1.15-1.24],3.800e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,1.19 [1.15-1.24],8.500e-13,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.19 [1.14-1.24],1.083e-13,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.18 [1.14-1.22],2.021e-14,***,Triglycerides in Small HDL
M-VLDL-TG%,1.17 [1.13-1.22],2.966e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-VLDL-PL%,1.17 [1.12-1.21],4.290e-10,***,Phospholipids to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL,1.16 [1.11-1.20],1.239e-09,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG%,1.16 [1.11-1.20],7.462e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG,1.15 [1.11-1.19],1.812e-10,***,Triglycerides in Very Small VLDL
