Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.27 [1.22-1.31],1.116e-31,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.25 [1.21-1.30],7.137e-29,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.24 [1.20-1.29],3.895e-27,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.23 [1.19-1.27],1.278e-26,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.19 [1.14-1.23],2.390e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.18 [1.13-1.23],6.910e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.18 [1.13-1.22],2.986e-12,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.17 [1.13-1.21],9.485e-11,***,Glycoprotein Acetyls
S-LDL-TG%,1.17 [1.13-1.21],7.119e-12,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.17 [1.13-1.21],2.041e-12,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-TG%,1.15 [1.11-1.19],4.057e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.14 [1.10-1.18],6.871e-07,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-TG%,1.13 [1.09-1.17],3.486e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-HDL-TG%,1.13 [1.09-1.17],3.794e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.12 [1.08-1.17],0.004,**,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.12 [1.08-1.16],2.841e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-VLDL-FC,0.91 [0.87-0.94],0.006,**,Free Cholesterol in Medium VLDL
S-LDL-P,0.91 [0.87-0.94],0.007,**,Concentration of Small LDL Particles
XS-VLDL-CE,0.90 [0.87-0.94],0.005,**,Cholesteryl Esters in Very Small VLDL
Omega-6%,0.90 [0.87-0.94],0.037,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,0.90 [0.87-0.94],0.007,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Leu,0.90 [0.87-0.94],0.037,*,Leucine
IDL-FC%,0.90 [0.87-0.93],0.003,**,Free Cholesterol to Total-Lipids in IDL percentage
Omega-3%,0.90 [0.87-0.93],0.005,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
