Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.13 [1.11-1.14],1.981e-61,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.12 [1.11-1.14],1.068e-57,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.12 [1.10-1.13],2.468e-55,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.12 [1.10-1.13],9.241e-45,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,1.12 [1.10-1.13],1.892e-45,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.11 [1.09-1.12],2.932e-47,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.10 [1.09-1.12],2.288e-35,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.10 [1.09-1.12],7.511e-42,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.10 [1.08-1.11],3.368e-40,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.09 [1.08-1.11],2.664e-35,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,1.09 [1.08-1.11],2.304e-30,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.09 [1.08-1.11],1.973e-35,***,Triglycerides to Total-Lipids in Small VLDL percentage
TG/PG,1.09 [1.07-1.10],5.114e-27,***,Triglycerides to Phosphoglycerides ratio
GlycA,1.09 [1.07-1.10],4.947e-28,***,Glycoprotein Acetyls
S-HDL-TG%,1.08 [1.07-1.10],4.652e-27,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.08 [1.07-1.10],4.466e-22,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG,1.07 [1.06-1.09],3.156e-22,***,Triglycerides in Small HDL
XL-VLDL-TG%,1.07 [1.06-1.09],1.635e-22,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC%,1.07 [1.05-1.09],9.146e-13,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.07 [1.05-1.08],1.508e-17,***,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,1.07 [1.05-1.08],1.461e-14,***,Average Diameter for VLDL Particles
XL-VLDL-TG,1.07 [1.05-1.08],1.175e-15,***,Triglycerides in Very Large VLDL
XXL-VLDL-P,1.06 [1.05-1.08],6.323e-13,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-TG,1.06 [1.05-1.07],1.665e-14,***,Triglycerides in Small VLDL
XXL-VLDL-PL,1.06 [1.05-1.07],1.378e-12,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.06 [1.05-1.07],2.556e-12,***,Triglycerides in Small LDL
XXL-VLDL-TG,1.06 [1.05-1.07],1.431e-11,***,Triglycerides in Chylomicrons and Extremely Large VLDL
Total-TG,1.06 [1.05-1.07],3.055e-12,***,Total-Triglycerides
XS-VLDL-TG,1.06 [1.05-1.07],1.620e-13,***,Triglycerides in Very Small VLDL
VLDL-TG,1.06 [1.04-1.07],1.221e-11,***,Triglycerides in VLDL
XXL-VLDL-L,1.06 [1.04-1.07],5.833e-11,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-LDL-TG,1.06 [1.04-1.07],1.640e-11,***,Triglycerides in Medium LDL
XL-VLDL-P,1.06 [1.04-1.07],1.491e-10,***,Concentration of Very Large VLDL Particles
XL-VLDL-L,1.05 [1.04-1.07],4.487e-10,***,Total-Lipids in Very Large VLDL
XXL-VLDL-FC,1.05 [1.04-1.07],1.282e-09,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
LDL-TG,1.05 [1.04-1.07],7.340e-10,***,Triglycerides in LDL
