Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.11 [1.09-1.13],6.142e-35,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.11 [1.09-1.12],1.841e-37,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.11 [1.09-1.12],1.261e-37,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.09 [1.08-1.11],6.989e-27,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.09 [1.08-1.11],1.931e-28,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.08 [1.07-1.10],6.659e-24,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.08 [1.07-1.10],1.678e-19,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.08 [1.07-1.10],2.065e-21,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.08 [1.06-1.09],4.316e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.08 [1.06-1.09],4.035e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,1.07 [1.05-1.08],1.127e-12,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.07 [1.05-1.08],3.524e-12,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-TG,1.07 [1.05-1.08],1.244e-15,***,Triglycerides in Medium HDL
S-HDL-TG,1.06 [1.05-1.08],1.686e-13,***,Triglycerides in Small HDL
L-HDL-TG%,1.06 [1.05-1.08],6.308e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
GlycA,1.06 [1.05-1.08],2.239e-09,***,Glycoprotein Acetyls
XL-VLDL-TG%,1.06 [1.05-1.08],4.590e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
HDL-TG,1.06 [1.04-1.07],4.486e-11,***,Triglycerides in HDL
S-HDL-PL%,1.06 [1.04-1.07],2.733e-09,***,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-TG%,1.05 [1.04-1.07],2.560e-07,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG%,1.05 [1.04-1.07],4.767e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-TG,1.05 [1.04-1.07],6.520e-08,***,Triglycerides in Very Small VLDL
S-HDL-PL,1.05 [1.04-1.07],2.484e-07,***,Phospholipids in Small HDL
IDL-TG,1.05 [1.03-1.06],4.032e-06,***,Triglycerides in IDL
TG/PG,1.05 [1.03-1.06],0.002,**,Triglycerides to Phosphoglycerides ratio
XS-VLDL-PL%,1.05 [1.03-1.06],3.265e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-L,1.04 [1.03-1.06],5.842e-04,***,Total-Lipids in Small HDL
L-LDL-TG,1.04 [1.03-1.06],6.079e-04,***,Triglycerides in Large LDL
S-VLDL-TG,1.04 [1.03-1.06],0.002,**,Triglycerides in Small VLDL
LDL-TG,1.04 [1.03-1.06],0.003,**,Triglycerides in LDL
MUFA,1.04 [1.03-1.06],0.028,*,Monounsaturated Fatty Acids
M-HDL-PL,1.04 [1.03-1.06],0.018,*,Phospholipids in Medium HDL
XL-VLDL-TG,1.04 [1.03-1.06],0.016,*,Triglycerides in Very Large VLDL
Total-TG,1.04 [1.03-1.06],0.018,*,Total-Triglycerides
L-VLDL-PL%,1.04 [1.03-1.05],0.011,*,Phospholipids to Total-Lipids in Large VLDL percentage
S-LDL-CE,0.96 [0.95-0.98],0.048,*,Cholesteryl Esters in Small LDL
M-LDL-C,0.96 [0.95-0.98],0.024,*,Cholesterol in Medium LDL
S-LDL-P,0.96 [0.95-0.98],0.010,*,Concentration of Small LDL Particles
