Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.07 [0.95-1.20],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.06 [0.96-1.18],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.06 [0.94-1.19],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-FC%,1.05 [0.95-1.16],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-TG%,1.02 [0.91-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA%,0.99 [0.88-1.11],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
LA,0.96 [0.86-1.07],1.000,,Linoleic Acid
PUFA%,0.92 [0.82-1.04],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA,0.92 [0.82-1.03],1.000,,Docosahexaenoic Acid
M-LDL-FC%,0.92 [0.82-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
