Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.17 [1.05-1.31],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-FC,1.09 [0.98-1.23],1.000,,Free Cholesterol in HDL
Creatinine,1.08 [0.95-1.23],1.000,,Creatinine
Lactate,1.05 [0.94-1.17],1.000,,Lactate
SFA,1.04 [0.92-1.16],1.000,,Saturated Fatty Acids
Leu,0.98 [0.88-1.10],1.000,,Leucine
Gln,0.97 [0.87-1.09],1.000,,Glutamine
M-LDL-FC%,0.97 [0.86-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,0.97 [0.86-1.09],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Tyr,0.94 [0.84-1.04],1.000,,Tyrosine
