Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.14 [0.98-1.33],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,1.03 [0.89-1.19],1.000,,Leucine
Total-BCAA,1.01 [0.87-1.18],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.01 [0.87-1.18],1.000,,Valine
Tyr,1.01 [0.86-1.17],1.000,,Tyrosine
LDL-FC,0.99 [0.85-1.14],1.000,,Free Cholesterol in LDL
PUFA,0.98 [0.85-1.14],1.000,,Polyunsaturated Fatty Acids
M-LDL-FC%,0.97 [0.85-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.97 [0.84-1.12],1.000,,Degree of Unsaturation
HDL-FC,0.87 [0.73-1.04],1.000,,Free Cholesterol in HDL
