Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,1.15 [1.04-1.28],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA%,1.08 [0.96-1.21],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.07 [0.96-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.03 [0.92-1.15],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA,1.02 [0.91-1.13],1.000,,Monounsaturated Fatty Acids
HDL-C,0.99 [0.87-1.13],1.000,,HDL Cholesterol
M-LDL-FC%,0.92 [0.83-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,0.91 [0.82-1.02],1.000,,Apolipoprotein B
ApoB/ApoA1,0.91 [0.81-1.02],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Clinical LDL-C,0.91 [0.82-1.01],1.000,,Clinical LDL Cholesterol
