Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.24 [1.18-1.29],7.328e-14,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.23 [1.18-1.29],3.964e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.23 [1.18-1.29],4.378e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.23 [1.17-1.29],1.082e-11,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.20 [1.14-1.26],4.144e-08,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.19 [1.13-1.25],1.453e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,1.18 [1.12-1.24],6.758e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.17 [1.12-1.23],1.035e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.17 [1.12-1.23],3.549e-05,***,Phospholipids to Total-Lipids in IDL percentage
GlycA,1.17 [1.11-1.23],7.210e-05,***,Glycoprotein Acetyls
M-VLDL-TG%,1.17 [1.11-1.23],0.002,**,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC%,0.89 [0.86-0.93],0.021,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-CE%,0.88 [0.84-0.93],0.032,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Omega-6,0.88 [0.84-0.92],0.040,*,Omega-6 Fatty Acids
M-VLDL-CE%,0.88 [0.84-0.91],1.045e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Cholines,0.88 [0.83-0.92],0.037,*,Total-Cholines
PUFA,0.88 [0.84-0.92],0.014,*,Polyunsaturated Fatty Acids
VLDL-CE,0.88 [0.83-0.92],0.038,*,Cholesteryl Esters in VLDL
Total-L,0.88 [0.84-0.92],0.003,**,Total-Lipids in Lipoprotein Particles
S-LDL-P,0.87 [0.83-0.92],0.026,*,Concentration of Small LDL Particles
S-LDL-PL,0.87 [0.83-0.92],0.014,*,Phospholipids in Small LDL
S-HDL-P,0.87 [0.83-0.92],0.016,*,Concentration of Small HDL Particles
S-HDL-C,0.87 [0.83-0.92],0.009,**,Cholesterol in Small HDL
Total-PL,0.87 [0.83-0.91],0.005,**,Total-Phospholipids in Lipoprotein Particles
S-VLDL-FC,0.87 [0.83-0.92],0.017,*,Free Cholesterol in Small VLDL
M-VLDL-FC,0.87 [0.83-0.91],0.009,**,Free Cholesterol in Medium VLDL
M-VLDL-C%,0.87 [0.83-0.91],9.546e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,0.87 [0.83-0.91],0.002,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-PL%,0.87 [0.83-0.91],3.298e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Unsaturation,0.87 [0.83-0.91],0.002,**,Degree of Unsaturation
S-HDL-CE,0.87 [0.83-0.91],0.003,**,Cholesteryl Esters in Small HDL
S-LDL-L,0.87 [0.82-0.91],0.001,**,Total-Lipids in Small LDL
Total-P,0.86 [0.82-0.91],0.014,*,Total-Concentration of Lipoprotein Particles
S-LDL-CE,0.86 [0.82-0.91],8.886e-04,***,Cholesteryl Esters in Small LDL
M-LDL-P,0.86 [0.82-0.91],0.002,**,Concentration of Medium LDL Particles
M-VLDL-FC%,0.86 [0.82-0.90],6.925e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
SM,0.86 [0.82-0.91],0.002,**,Sphingomyelins
L-LDL-P,0.86 [0.82-0.90],6.867e-04,***,Concentration of Large LDL Particles
S-VLDL-C%,0.86 [0.82-0.90],2.173e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
LDL-P,0.86 [0.82-0.90],5.263e-04,***,Concentration of LDL Particles
M-LDL-CE,0.86 [0.82-0.90],1.300e-04,***,Cholesteryl Esters in Medium LDL
ApoB,0.86 [0.82-0.90],1.255e-04,***,Apolipoprotein B
XS-VLDL-C,0.86 [0.81-0.90],0.002,**,Cholesterol in Very Small VLDL
M-LDL-L,0.86 [0.82-0.90],4.345e-05,***,Total-Lipids in Medium LDL
M-LDL-PL,0.85 [0.81-0.90],6.333e-05,***,Phospholipids in Medium LDL
S-LDL-C,0.85 [0.81-0.89],3.039e-05,***,Cholesterol in Small LDL
Remnant-C,0.85 [0.81-0.89],2.417e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C,0.85 [0.81-0.89],4.521e-06,***,Cholesterol in Medium LDL
LDL-L,0.84 [0.81-0.89],3.396e-07,***,Total-Lipids in LDL
LDL-CE,0.84 [0.81-0.89],5.528e-07,***,Cholesteryl Esters in LDL
L-LDL-FC%,0.84 [0.81-0.88],4.031e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C,0.84 [0.80-0.89],7.016e-06,***,Cholesterol in Medium VLDL
