Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.64 [1.46-1.84],8.373e-12,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.61 [1.44-1.80],4.266e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.61 [1.42-1.82],6.334e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.59 [1.42-1.79],1.670e-09,***,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.59 [1.40-1.79],5.111e-08,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.42 [1.25-1.61],0.016,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,1.38 [1.22-1.57],0.048,*,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-FC%,0.75 [0.67-0.83],0.045,*,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE%,0.74 [0.66-0.82],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LA%,0.73 [0.65-0.82],0.022,*,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-FC%,0.73 [0.65-0.82],0.019,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-CE%,0.73 [0.65-0.82],0.018,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.71 [0.64-0.79],1.552e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-C,0.71 [0.62-0.81],0.034,*,VLDL Cholesterol
XS-VLDL-CE%,0.71 [0.64-0.79],3.876e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Phosphoglyc,0.70 [0.62-0.79],0.007,**,Phosphoglycerides
S-HDL-L,0.70 [0.61-0.79],0.005,**,Total-Lipids in Small HDL
M-VLDL-L,0.69 [0.61-0.79],0.009,**,Total-Lipids in Medium VLDL
S-VLDL-FC%,0.69 [0.62-0.78],7.202e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-FC,0.69 [0.60-0.79],0.006,**,Free Cholesterol in Small HDL
VLDL-CE,0.69 [0.60-0.79],0.007,**,Cholesteryl Esters in VLDL
L-LDL-CE%,0.69 [0.62-0.77],9.601e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-CE,0.69 [0.60-0.79],0.028,*,Cholesteryl Esters in Very Small VLDL
PC,0.68 [0.60-0.78],0.001,**,Phosphatidylcholines
S-VLDL-PL%,0.68 [0.60-0.77],1.163e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
PUFA,0.68 [0.60-0.77],1.282e-04,***,Polyunsaturated Fatty Acids
Cholines,0.67 [0.59-0.76],1.656e-04,***,Total-Cholines
M-VLDL-P,0.67 [0.58-0.77],0.005,**,Concentration of Medium VLDL Particles
M-VLDL-PL,0.67 [0.59-0.77],0.002,**,Phospholipids in Medium VLDL
Total-L,0.67 [0.59-0.75],1.709e-06,***,Total-Lipids in Lipoprotein Particles
Total-PL,0.67 [0.59-0.75],1.818e-05,***,Total-Phospholipids in Lipoprotein Particles
HDL-P,0.66 [0.57-0.77],0.005,**,Concentration of HDL Particles
S-LDL-P,0.66 [0.58-0.76],7.910e-04,***,Concentration of Small LDL Particles
S-VLDL-FC,0.66 [0.57-0.76],7.275e-04,***,Free Cholesterol in Small VLDL
S-LDL-PL,0.66 [0.57-0.75],9.814e-05,***,Phospholipids in Small LDL
M-LDL-C%,0.65 [0.59-0.72],2.445e-12,***,Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6,0.65 [0.58-0.74],3.252e-06,***,Omega-6 Fatty Acids
L-LDL-P,0.65 [0.57-0.75],4.407e-04,***,Concentration of Large LDL Particles
ApoB,0.65 [0.57-0.74],1.159e-05,***,Apolipoprotein B
M-VLDL-FC,0.65 [0.56-0.75],1.903e-04,***,Free Cholesterol in Medium VLDL
IDL-C%,0.65 [0.59-0.72],1.570e-12,***,Cholesterol to Total-Lipids in IDL percentage
Remnant-C,0.65 [0.57-0.73],6.626e-07,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
SM,0.65 [0.57-0.74],4.304e-05,***,Sphingomyelins
LA,0.64 [0.57-0.73],1.940e-07,***,Linoleic Acid
LDL-P,0.64 [0.56-0.74],8.273e-05,***,Concentration of LDL Particles
IDL-PL,0.64 [0.56-0.74],3.744e-05,***,Phospholipids in IDL
S-HDL-C,0.64 [0.56-0.73],1.330e-06,***,Cholesterol in Small HDL
S-LDL-L,0.64 [0.56-0.73],3.432e-06,***,Total-Lipids in Small LDL
M-LDL-P,0.63 [0.55-0.73],2.461e-05,***,Concentration of Medium LDL Particles
Total-P,0.63 [0.55-0.73],5.256e-05,***,Total-Concentration of Lipoprotein Particles
L-LDL-C%,0.63 [0.57-0.70],1.276e-13,***,Cholesterol to Total-Lipids in Large LDL percentage
Non-HDL-C,0.63 [0.56-0.71],3.655e-09,***,Total-Cholesterol Minus HDL-C
IDL-L,0.63 [0.56-0.71],1.216e-07,***,Total-Lipids in IDL
S-LDL-C%,0.63 [0.57-0.70],9.683e-14,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-CE,0.63 [0.55-0.72],2.646e-06,***,Cholesteryl Esters in Small LDL
S-HDL-CE,0.63 [0.55-0.72],5.031e-07,***,Cholesteryl Esters in Small HDL
LDL-L,0.63 [0.56-0.71],3.835e-09,***,Total-Lipids in LDL
S-HDL-P,0.63 [0.55-0.72],1.250e-06,***,Concentration of Small HDL Particles
M-LDL-L,0.63 [0.55-0.71],9.902e-08,***,Total-Lipids in Medium LDL
M-LDL-CE,0.63 [0.55-0.71],3.295e-07,***,Cholesteryl Esters in Medium LDL
Total-FC,0.62 [0.55-0.71],1.858e-08,***,Total-Free Cholesterol
M-VLDL-C,0.62 [0.54-0.71],2.358e-06,***,Cholesterol in Medium VLDL
IDL-FC,0.62 [0.54-0.71],1.656e-06,***,Free Cholesterol in IDL
Total-C,0.62 [0.55-0.70],2.452e-10,***,Total-Cholesterol
L-LDL-L,0.62 [0.55-0.70],3.119e-09,***,Total-Lipids in Large LDL
LDL-CE,0.62 [0.55-0.70],2.835e-09,***,Cholesteryl Esters in LDL
Clinical LDL-C,0.62 [0.55-0.69],6.094e-11,***,Clinical LDL Cholesterol
LDL-C,0.62 [0.55-0.69],4.922e-10,***,LDL Cholesterol
M-VLDL-CE,0.62 [0.54-0.71],1.091e-06,***,Cholesteryl Esters in Medium VLDL
Total-CE,0.61 [0.55-0.69],1.110e-10,***,Total-Esterified Cholesterol
M-LDL-C,0.61 [0.54-0.70],1.802e-08,***,Cholesterol in Medium LDL
S-LDL-C,0.61 [0.54-0.70],1.237e-07,***,Cholesterol in Small LDL
IDL-CE%,0.61 [0.55-0.68],2.907e-16,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-PL,0.61 [0.54-0.70],1.121e-07,***,Phospholipids in Medium LDL
L-LDL-CE,0.61 [0.54-0.69],2.172e-09,***,Cholesteryl Esters in Large LDL
L-LDL-C,0.61 [0.54-0.69],5.989e-10,***,Cholesterol in Large LDL
LDL-PL,0.61 [0.53-0.69],4.762e-09,***,Phospholipids in LDL
IDL-P,0.60 [0.52-0.70],8.578e-07,***,Concentration of IDL Particles
IDL-C,0.60 [0.53-0.69],1.739e-09,***,Cholesterol in IDL
S-LDL-FC,0.60 [0.52-0.68],8.131e-09,***,Free Cholesterol in Small LDL
