Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.19 [1.07-1.33],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.14 [1.03-1.27],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-3%,1.05 [0.95-1.18],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
SFA%,1.03 [0.93-1.14],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
DHA,1.01 [0.90-1.13],1.000,,Docosahexaenoic Acid
Remnant-C,0.96 [0.86-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-C,0.95 [0.86-1.06],1.000,,LDL Cholesterol
Non-HDL-C,0.95 [0.86-1.06],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.95 [0.86-1.06],1.000,,Total-Cholesterol
M-LDL-FC%,0.86 [0.78-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
