Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.10 [0.92-1.31],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,1.04 [0.87-1.24],1.000,,Tyrosine
Phe,1.03 [0.87-1.23],1.000,,Phenylalanine
His,1.02 [0.86-1.21],1.000,,Histidine
HDL-C,1.01 [0.83-1.23],1.000,,HDL Cholesterol
M-LDL-FC%,0.95 [0.80-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Ile,0.89 [0.74-1.07],1.000,,Isoleucine
Val,0.85 [0.70-1.03],1.000,,Valine
Total-BCAA,0.85 [0.70-1.02],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.83 [0.69-1.01],1.000,,Leucine
