Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.40 [1.35-1.46],3.894e-68,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.38 [1.34-1.43],1.483e-72,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.34 [1.29-1.40],1.827e-42,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.33 [1.28-1.38],3.563e-48,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.33 [1.29-1.37],3.663e-56,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.31 [1.26-1.37],3.282e-36,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-LDL-TG%,1.30 [1.26-1.35],2.056e-48,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.29 [1.23-1.36],4.537e-19,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.24 [1.20-1.28],1.314e-29,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.23 [1.19-1.28],7.341e-27,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.23 [1.19-1.28],1.564e-22,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG%,1.22 [1.17-1.27],9.995e-17,***,Triglycerides to Total-Lipids in Small HDL percentage
GlycA,1.21 [1.17-1.26],1.303e-18,***,Glycoprotein Acetyls
IDL-PL%,1.21 [1.17-1.25],4.626e-20,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-TG%,1.20 [1.16-1.25],4.251e-17,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,1.20 [1.15-1.25],1.831e-10,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
TG/PG,1.18 [1.14-1.23],1.474e-12,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG,1.17 [1.13-1.22],9.154e-13,***,Triglycerides in Small HDL
XS-VLDL-TG,1.17 [1.13-1.21],2.489e-14,***,Triglycerides in Very Small VLDL
M-HDL-PL%,1.17 [1.13-1.21],9.861e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG,1.17 [1.13-1.21],8.093e-12,***,Triglycerides in Small VLDL
L-HDL-TG%,1.16 [1.12-1.21],1.459e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.15 [1.11-1.20],3.463e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG,1.15 [1.11-1.19],1.162e-10,***,Triglycerides in Medium LDL
L-LDL-TG,1.14 [1.11-1.18],4.404e-09,***,Triglycerides in Large LDL
LDL-TG,1.14 [1.11-1.18],2.480e-09,***,Triglycerides in LDL
IDL-TG,1.14 [1.10-1.18],1.671e-08,***,Triglycerides in IDL
L-VLDL-TG%,1.13 [1.09-1.18],0.001,**,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-3%,1.13 [1.09-1.17],1.004e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG,1.12 [1.09-1.16],1.654e-06,***,Triglycerides in Small LDL
XL-VLDL-TG,1.12 [1.08-1.16],1.201e-04,***,Triglycerides in Very Large VLDL
Omega-3,1.12 [1.08-1.16],4.044e-04,***,Omega-3 Fatty Acids
XL-HDL-FC%,1.12 [1.08-1.16],0.007,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Total-TG,1.11 [1.07-1.16],0.002,**,Total-Triglycerides
L-VLDL-TG,1.11 [1.07-1.15],0.004,**,Triglycerides in Large VLDL
S-LDL-PL%,1.11 [1.07-1.15],0.026,*,Phospholipids to Total-Lipids in Small LDL percentage
VLDL-TG,1.11 [1.07-1.15],0.017,*,Triglycerides in VLDL
XL-VLDL-P,1.10 [1.07-1.14],0.013,*,Concentration of Very Large VLDL Particles
M-VLDL-TG,1.10 [1.06-1.15],0.026,*,Triglycerides in Medium VLDL
Glu,1.10 [1.07-1.14],0.015,*,Glucose
L-VLDL-PL,1.10 [1.06-1.15],0.043,*,Phospholipids in Large VLDL
Glu-lactate,1.10 [1.06-1.14],0.014,*,Glucose-lactate
HDL-TG,1.10 [1.06-1.14],0.041,*,Triglycerides in HDL
MUFA,1.10 [1.06-1.14],0.033,*,Monounsaturated Fatty Acids
XL-HDL-PL%,0.91 [0.88-0.94],0.004,**,Phospholipids to Total-Lipids in Very Large HDL percentage
Total-PL,0.90 [0.87-0.93],0.008,**,Total-Phospholipids in Lipoprotein Particles
VLDL-CE,0.90 [0.86-0.93],0.003,**,Cholesteryl Esters in VLDL
LDL-CE,0.89 [0.86-0.93],3.554e-04,***,Cholesteryl Esters in LDL
S-HDL-CE%,0.89 [0.86-0.93],7.365e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
HDL-L,0.89 [0.85-0.93],0.020,*,Total-Lipids in HDL
S-HDL-C%,0.89 [0.86-0.92],1.191e-05,***,Cholesterol to Total-Lipids in Small HDL percentage
ApoB,0.89 [0.86-0.92],7.939e-05,***,Apolipoprotein B
LDL-L,0.89 [0.86-0.92],1.672e-05,***,Total-Lipids in LDL
L-LDL-CE,0.88 [0.85-0.92],8.797e-06,***,Cholesteryl Esters in Large LDL
S-LDL-CE%,0.88 [0.85-0.91],4.339e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-CE%,0.88 [0.85-0.91],5.828e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
LDL-PL,0.88 [0.85-0.91],2.856e-06,***,Phospholipids in LDL
PUFA%,0.88 [0.85-0.91],6.319e-09,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-C,0.88 [0.85-0.91],1.451e-07,***,LDL Cholesterol
S-LDL-FC,0.88 [0.84-0.91],8.842e-07,***,Free Cholesterol in Small LDL
SM,0.88 [0.84-0.91],6.721e-06,***,Sphingomyelins
S-LDL-FC%,0.87 [0.85-0.90],1.627e-11,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC,0.87 [0.84-0.91],2.718e-07,***,Free Cholesterol in Medium LDL
L-LDL-L,0.87 [0.84-0.90],3.104e-08,***,Total-Lipids in Large LDL
L-LDL-C,0.87 [0.83-0.90],1.305e-09,***,Cholesterol in Large LDL
LA,0.86 [0.83-0.89],4.024e-10,***,Linoleic Acid
M-HDL-C%,0.86 [0.83-0.89],1.455e-11,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-FC%,0.86 [0.83-0.89],2.773e-10,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-FC%,0.86 [0.83-0.89],2.852e-18,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-FC,0.86 [0.82-0.90],2.367e-05,***,Free Cholesterol in HDL
Non-HDL-C,0.86 [0.83-0.89],4.447e-12,***,Total-Cholesterol Minus HDL-C
M-VLDL-C,0.85 [0.82-0.89],1.219e-10,***,Cholesterol in Medium VLDL
