Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.09 [1.07-1.10],1.683e-31,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.09 [1.07-1.10],5.435e-31,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.08 [1.07-1.10],2.117e-28,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.08 [1.07-1.09],4.195e-24,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.08 [1.06-1.09],1.154e-23,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
GlycA,1.08 [1.06-1.09],6.306e-22,***,Glycoprotein Acetyls
S-VLDL-TG%,1.07 [1.06-1.09],1.316e-18,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.07 [1.06-1.09],1.366e-17,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,1.07 [1.06-1.08],2.208e-17,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.06 [1.05-1.08],4.354e-15,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.06 [1.04-1.08],8.376e-08,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.06 [1.04-1.07],1.179e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.06 [1.04-1.07],1.002e-10,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL%,1.06 [1.04-1.07],9.746e-11,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-TG%,1.05 [1.03-1.06],6.598e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.04 [1.02-1.05],0.019,*,Triglycerides to Phosphoglycerides ratio
S-LDL-PL%,1.04 [1.02-1.05],0.025,*,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-PL,0.96 [0.95-0.98],0.030,*,Phospholipids in Small VLDL
XS-VLDL-P,0.96 [0.95-0.98],0.024,*,Concentration of Very Small VLDL Particles
S-VLDL-CE,0.96 [0.95-0.98],0.018,*,Cholesteryl Esters in Small VLDL
S-LDL-CE%,0.96 [0.95-0.97],0.003,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-C,0.96 [0.95-0.97],0.001,**,VLDL Cholesterol
XL-HDL-CE%,0.96 [0.95-0.97],4.010e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
