Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gln,1.23 [1.03-1.47],1.000,,Glutamine
Tyr,1.14 [0.95-1.36],1.000,,Tyrosine
M-LDL-PL%,1.08 [0.90-1.30],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
His,1.05 [0.89-1.25],1.000,,Histidine
Phe,1.00 [0.84-1.20],1.000,,Phenylalanine
Val,0.98 [0.82-1.19],1.000,,Valine
M-LDL-FC%,0.96 [0.81-1.14],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.95 [0.80-1.14],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoA1,0.94 [0.77-1.14],1.000,,Apolipoprotein A1
ApoB,0.89 [0.75-1.06],1.000,,Apolipoprotein B
