Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.15 [1.04-1.28],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.09 [0.97-1.23],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.09 [0.98-1.21],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-CE%,1.07 [0.96-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.07 [0.96-1.19],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.95 [0.85-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.93 [0.83-1.04],1.000,,VLDL Cholesterol
Remnant-C,0.90 [0.80-1.00],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.90 [0.81-1.00],1.000,,Total-Cholesterol
HDL-CE,0.89 [0.78-1.02],1.000,,Cholesteryl Esters in HDL
