Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.10 [1.07-1.14],3.701e-06,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.10 [1.07-1.13],4.612e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.10 [1.06-1.13],0.002,**,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,1.10 [1.06-1.13],3.617e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.09 [1.06-1.13],0.008,**,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.09 [1.06-1.13],2.320e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,1.09 [1.06-1.12],0.002,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.08 [1.05-1.11],0.050,*,Phospholipids to Total-Lipids in IDL percentage
M-VLDL-CE%,0.93 [0.91-0.95],0.018,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.92 [0.90-0.95],0.005,**,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-PL,0.92 [0.90-0.95],0.029,*,Phospholipids in Small LDL
Cholines,0.92 [0.89-0.95],0.045,*,Total-Cholines
L-LDL-C%,0.92 [0.89-0.95],0.001,**,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-FC%,0.92 [0.89-0.95],0.002,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC,0.92 [0.89-0.95],0.019,*,Free Cholesterol in Small VLDL
S-VLDL-C%,0.92 [0.89-0.95],0.002,**,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC,0.92 [0.89-0.95],0.013,*,Free Cholesterol in Medium VLDL
Total-L,0.92 [0.89-0.94],0.002,**,Total-Lipids in Lipoprotein Particles
M-VLDL-FC%,0.92 [0.89-0.94],0.001,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-P,0.92 [0.89-0.95],0.006,**,Concentration of Small LDL Particles
M-LDL-CE,0.92 [0.89-0.94],0.003,**,Cholesteryl Esters in Medium LDL
Total-PL,0.92 [0.89-0.94],0.003,**,Total-Phospholipids in Lipoprotein Particles
S-LDL-L,0.92 [0.89-0.94],0.002,**,Total-Lipids in Small LDL
M-LDL-C%,0.92 [0.89-0.94],1.389e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,0.92 [0.89-0.94],0.003,**,Cholesteryl Esters in VLDL
M-LDL-P,0.91 [0.89-0.94],0.002,**,Concentration of Medium LDL Particles
M-LDL-L,0.91 [0.89-0.94],8.882e-04,***,Total-Lipids in Medium LDL
L-LDL-P,0.91 [0.89-0.94],0.002,**,Concentration of Large LDL Particles
S-LDL-CE,0.91 [0.89-0.94],7.896e-04,***,Cholesteryl Esters in Small LDL
M-VLDL-PL%,0.91 [0.89-0.94],1.285e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-PL,0.91 [0.89-0.94],7.070e-04,***,Phospholipids in Medium LDL
LDL-P,0.91 [0.89-0.94],9.854e-04,***,Concentration of LDL Particles
M-LDL-C,0.91 [0.89-0.94],3.011e-04,***,Cholesterol in Medium LDL
XS-VLDL-C%,0.91 [0.89-0.94],1.205e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.91 [0.89-0.94],7.573e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-C,0.91 [0.88-0.94],1.389e-04,***,Cholesterol in Small LDL
ApoB,0.91 [0.88-0.94],1.022e-04,***,Apolipoprotein B
S-VLDL-PL%,0.91 [0.88-0.94],1.263e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-FC,0.91 [0.88-0.94],1.112e-04,***,Free Cholesterol in Small LDL
LDL-CE,0.91 [0.88-0.94],3.436e-05,***,Cholesteryl Esters in LDL
XS-VLDL-CE%,0.91 [0.88-0.93],2.810e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LDL-L,0.91 [0.88-0.93],1.449e-05,***,Total-Lipids in LDL
SM,0.91 [0.88-0.94],4.331e-04,***,Sphingomyelins
XS-VLDL-C,0.91 [0.88-0.94],4.274e-04,***,Cholesterol in Very Small VLDL
L-LDL-CE,0.91 [0.88-0.93],1.462e-05,***,Cholesteryl Esters in Large LDL
IDL-CE%,0.91 [0.88-0.93],8.514e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-C,0.91 [0.88-0.93],5.278e-06,***,LDL Cholesterol
IDL-C%,0.91 [0.88-0.93],1.410e-07,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-L,0.90 [0.88-0.93],3.387e-06,***,Total-Lipids in Large LDL
M-VLDL-C,0.90 [0.88-0.93],2.034e-05,***,Cholesterol in Medium VLDL
