Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,1.17 [1.13-1.21],1.887e-13,***,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.17 [1.13-1.21],7.566e-17,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,1.17 [1.13-1.20],7.232e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
HDL-size,1.15 [1.11-1.20],1.858e-06,***,Average Diameter for HDL Particles
XL-HDL-PL,1.15 [1.10-1.20],3.619e-05,***,Phospholipids in Very Large HDL
XL-HDL-PL%,1.14 [1.10-1.18],7.024e-08,***,Phospholipids to Total-Lipids in Very Large HDL percentage
IDL-PL%,1.14 [1.10-1.18],3.092e-09,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.14 [1.10-1.18],8.752e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.13 [1.10-1.17],4.598e-09,***,Triglycerides to Total-Lipids in IDL percentage
S-LDL-PL%,1.13 [1.09-1.17],2.538e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-TG%,1.10 [1.07-1.14],0.003,**,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.10 [1.06-1.14],0.038,*,Triglycerides to Total-Lipids in Small VLDL percentage
Omega-6/Omega-3,1.10 [1.06-1.14],0.005,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-CE%,0.92 [0.89-0.95],0.035,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.92 [0.89-0.95],0.028,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-FA,0.91 [0.88-0.94],0.012,*,Total-Fatty Acids
Cholines,0.91 [0.88-0.94],0.019,*,Total-Cholines
Albumin,0.91 [0.88-0.94],0.003,**,Albumin
XL-VLDL-FC,0.91 [0.88-0.94],0.034,*,Free Cholesterol in Very Large VLDL
VLDL-size,0.91 [0.88-0.94],0.017,*,Average Diameter for VLDL Particles
S-HDL-CE%,0.91 [0.88-0.94],0.002,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XS-VLDL-C,0.91 [0.88-0.94],0.019,*,Cholesterol in Very Small VLDL
SM,0.90 [0.87-0.94],0.006,**,Sphingomyelins
XS-VLDL-CE,0.90 [0.87-0.94],0.008,**,Cholesteryl Esters in Very Small VLDL
S-HDL-L,0.90 [0.87-0.93],4.777e-04,***,Total-Lipids in Small HDL
S-VLDL-FC%,0.90 [0.87-0.93],2.841e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-TG,0.90 [0.87-0.93],8.640e-04,***,Triglycerides in Large VLDL
L-VLDL-P,0.90 [0.87-0.93],0.001,**,Concentration of Large VLDL Particles
L-VLDL-PL,0.90 [0.87-0.93],0.002,**,Phospholipids in Large VLDL
S-HDL-C%,0.90 [0.87-0.93],5.375e-05,***,Cholesterol to Total-Lipids in Small HDL percentage
Total-PL,0.90 [0.87-0.93],8.775e-05,***,Total-Phospholipids in Lipoprotein Particles
S-HDL-FC,0.90 [0.87-0.93],2.795e-04,***,Free Cholesterol in Small HDL
S-VLDL-PL%,0.90 [0.87-0.93],4.347e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-3%,0.90 [0.87-0.93],2.990e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-CE%,0.89 [0.86-0.92],2.050e-05,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Unsaturation,0.89 [0.86-0.92],2.454e-06,***,Degree of Unsaturation
XL-HDL-CE%,0.89 [0.86-0.92],1.202e-09,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
VLDL-L,0.89 [0.86-0.92],3.966e-06,***,Total-Lipids in VLDL
L-VLDL-L,0.89 [0.86-0.92],1.297e-05,***,Total-Lipids in Large VLDL
S-LDL-CE%,0.89 [0.86-0.92],3.005e-07,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-FC,0.89 [0.85-0.92],8.815e-06,***,Free Cholesterol in Large VLDL
VLDL-PL,0.89 [0.86-0.92],1.187e-06,***,Phospholipids in VLDL
M-VLDL-TG,0.88 [0.85-0.91],7.553e-07,***,Triglycerides in Medium VLDL
S-VLDL-P,0.88 [0.85-0.91],1.742e-06,***,Concentration of Small VLDL Particles
XL-VLDL-C,0.88 [0.85-0.91],2.007e-06,***,Cholesterol in Very Large VLDL
VLDL-P,0.88 [0.85-0.91],4.872e-07,***,Concentration of VLDL Particles
Total-BCAA,0.88 [0.85-0.91],1.758e-06,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-C%,0.88 [0.85-0.90],1.009e-12,***,Cholesterol to Total-Lipids in IDL percentage
Leu,0.88 [0.85-0.91],3.632e-07,***,Leucine
IDL-PL,0.88 [0.85-0.91],3.016e-08,***,Phospholipids in IDL
Val,0.88 [0.84-0.91],4.508e-07,***,Valine
DHA,0.88 [0.84-0.91],1.310e-07,***,Docosahexaenoic Acid
Total-L,0.87 [0.85-0.90],3.057e-11,***,Total-Lipids in Lipoprotein Particles
S-VLDL-L,0.87 [0.84-0.91],1.728e-08,***,Total-Lipids in Small VLDL
LA,0.87 [0.85-0.90],9.320e-11,***,Linoleic Acid
L-VLDL-C,0.87 [0.84-0.90],2.309e-08,***,Cholesterol in Large VLDL
VLDL-FC,0.87 [0.84-0.90],2.837e-09,***,Free Cholesterol in VLDL
IDL-CE%,0.87 [0.84-0.90],1.446e-14,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-3,0.87 [0.84-0.90],7.699e-09,***,Omega-3 Fatty Acids
S-HDL-C,0.87 [0.84-0.90],4.481e-10,***,Cholesterol in Small HDL
Omega-6,0.87 [0.84-0.90],3.164e-11,***,Omega-6 Fatty Acids
IDL-L,0.87 [0.84-0.90],2.318e-11,***,Total-Lipids in IDL
IDL-FC,0.87 [0.84-0.90],2.388e-10,***,Free Cholesterol in IDL
XL-HDL-C%,0.87 [0.84-0.90],1.421e-11,***,Cholesterol to Total-Lipids in Very Large HDL percentage
ApoB/ApoA1,0.87 [0.84-0.90],7.285e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,0.87 [0.84-0.90],2.366e-11,***,VLDL Cholesterol
S-HDL-CE,0.87 [0.84-0.90],6.324e-11,***,Cholesteryl Esters in Small HDL
M-LDL-C%,0.86 [0.84-0.89],9.632e-17,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-P,0.86 [0.83-0.89],5.892e-11,***,Concentration of Small HDL Particles
VLDL-CE,0.86 [0.83-0.89],1.773e-11,***,Cholesteryl Esters in VLDL
L-VLDL-CE,0.86 [0.83-0.89],3.400e-10,***,Cholesteryl Esters in Large VLDL
S-VLDL-CE,0.86 [0.83-0.89],2.326e-10,***,Cholesteryl Esters in Small VLDL
XL-VLDL-CE,0.86 [0.83-0.89],1.880e-10,***,Cholesteryl Esters in Very Large VLDL
IDL-P,0.86 [0.83-0.89],2.605e-11,***,Concentration of IDL Particles
IDL-C,0.86 [0.83-0.89],3.919e-13,***,Cholesterol in IDL
