Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.11 [1.08-1.15],3.732e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.09 [1.06-1.13],0.004,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.09 [1.05-1.12],0.037,*,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,1.08 [1.05-1.12],0.610,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-TG%,1.07 [1.04-1.11],0.881,,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-L,0.92 [0.89-0.95],0.050,*,Total-Lipids in Medium VLDL
S-VLDL-PL,0.92 [0.89-0.95],0.048,*,Phospholipids in Small VLDL
IDL-CE%,0.92 [0.89-0.94],6.667e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-P,0.92 [0.89-0.95],0.018,*,Concentration of LDL Particles
VLDL-C,0.92 [0.89-0.95],0.013,*,VLDL Cholesterol
S-LDL-C,0.92 [0.89-0.94],0.008,**,Cholesterol in Small LDL
L-LDL-P,0.91 [0.89-0.94],0.013,*,Concentration of Large LDL Particles
M-VLDL-P,0.91 [0.89-0.94],0.015,*,Concentration of Medium VLDL Particles
XS-VLDL-L,0.91 [0.89-0.94],0.018,*,Total-Lipids in Very Small VLDL
M-VLDL-PL,0.91 [0.88-0.94],0.007,**,Phospholipids in Medium VLDL
SFA,0.91 [0.89-0.94],8.088e-04,***,Saturated Fatty Acids
ApoB,0.91 [0.89-0.94],0.003,**,Apolipoprotein B
XS-VLDL-FC,0.91 [0.88-0.94],0.021,*,Free Cholesterol in Very Small VLDL
S-LDL-CE,0.91 [0.89-0.94],0.003,**,Cholesteryl Esters in Small LDL
M-LDL-FC,0.91 [0.88-0.94],0.004,**,Free Cholesterol in Medium LDL
M-LDL-PL,0.91 [0.88-0.94],0.004,**,Phospholipids in Medium LDL
S-VLDL-FC,0.91 [0.88-0.94],0.008,**,Free Cholesterol in Small VLDL
M-LDL-L,0.91 [0.88-0.94],0.001,**,Total-Lipids in Medium LDL
VLDL-CE,0.91 [0.88-0.94],0.002,**,Cholesteryl Esters in VLDL
M-LDL-CE,0.91 [0.88-0.94],9.830e-04,***,Cholesteryl Esters in Medium LDL
M-VLDL-FC,0.91 [0.88-0.94],0.002,**,Free Cholesterol in Medium VLDL
M-LDL-C,0.91 [0.88-0.94],6.363e-04,***,Cholesterol in Medium LDL
M-VLDL-CE,0.91 [0.88-0.94],0.001,**,Cholesteryl Esters in Medium VLDL
M-VLDL-C,0.91 [0.88-0.94],5.165e-04,***,Cholesterol in Medium VLDL
LDL-FC,0.91 [0.88-0.94],1.916e-04,***,Free Cholesterol in LDL
LDL-L,0.91 [0.88-0.93],5.549e-05,***,Total-Lipids in LDL
LDL-PL,0.91 [0.88-0.93],1.373e-04,***,Phospholipids in LDL
Clinical LDL-C,0.91 [0.88-0.93],2.123e-05,***,Clinical LDL Cholesterol
LDL-C,0.91 [0.88-0.93],3.516e-05,***,LDL Cholesterol
LDL-CE,0.91 [0.88-0.93],4.119e-05,***,Cholesteryl Esters in LDL
Total-FA,0.91 [0.88-0.93],2.110e-05,***,Total-Fatty Acids
IDL-P,0.90 [0.88-0.93],3.493e-04,***,Concentration of IDL Particles
S-LDL-C%,0.90 [0.88-0.93],3.920e-06,***,Cholesterol to Total-Lipids in Small LDL percentage
