Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.34 [1.29-1.39],3.985e-51,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.33 [1.29-1.38],1.553e-50,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.33 [1.28-1.38],4.054e-45,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.32 [1.28-1.37],9.676e-49,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.30 [1.25-1.35],2.574e-37,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.29 [1.24-1.34],1.564e-32,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.27 [1.23-1.32],1.759e-30,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Creatinine,1.25 [1.21-1.30],9.902e-33,***,Creatinine
IDL-PL%,1.25 [1.20-1.29],8.648e-26,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.23 [1.18-1.27],6.797e-23,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.22 [1.17-1.27],2.050e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-PL%,1.19 [1.15-1.24],7.497e-15,***,Phospholipids to Total-Lipids in Small LDL percentage
MUFA%,1.19 [1.14-1.23],1.976e-12,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.18 [1.14-1.23],1.403e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.16 [1.12-1.21],3.334e-10,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.13 [1.09-1.17],1.084e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
GlycA,1.11 [1.07-1.16],0.011,*,Glycoprotein Acetyls
L-VLDL-TG%,1.11 [1.07-1.15],0.013,*,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-CE%,0.90 [0.87-0.94],0.007,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
PUFA%,0.90 [0.87-0.94],0.011,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-L,0.89 [0.86-0.93],0.012,*,Total-Lipids in Large HDL
XL-VLDL-C,0.89 [0.86-0.93],0.003,**,Cholesterol in Very Large VLDL
L-VLDL-C,0.89 [0.86-0.93],0.003,**,Cholesterol in Large VLDL
L-HDL-CE%,0.89 [0.86-0.93],8.178e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-P,0.89 [0.86-0.92],5.525e-04,***,Concentration of Small VLDL Particles
L-HDL-FC,0.89 [0.85-0.92],0.002,**,Free Cholesterol in Large HDL
L-HDL-CE,0.89 [0.85-0.92],0.002,**,Cholesteryl Esters in Large HDL
L-HDL-P,0.89 [0.85-0.92],0.002,**,Concentration of Large HDL Particles
L-HDL-C,0.89 [0.85-0.92],0.001,**,Cholesterol in Large HDL
VLDL-L,0.88 [0.85-0.92],5.747e-05,***,Total-Lipids in VLDL
XL-VLDL-PL%,0.88 [0.85-0.92],5.128e-07,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.88 [0.85-0.92],0.001,**,Concentration of Very Large HDL Particles
XL-HDL-C,0.88 [0.85-0.92],7.513e-04,***,Cholesterol in Very Large HDL
M-HDL-C%,0.88 [0.85-0.92],6.118e-06,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-FC%,0.88 [0.85-0.92],2.605e-05,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-PL,0.88 [0.85-0.91],9.798e-06,***,Phospholipids in Medium HDL
L-HDL-FC%,0.88 [0.85-0.91],1.417e-08,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-C%,0.88 [0.85-0.91],1.990e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
Omega-3,0.88 [0.85-0.91],1.315e-05,***,Omega-3 Fatty Acids
XL-HDL-CE,0.88 [0.84-0.92],2.539e-04,***,Cholesteryl Esters in Very Large HDL
XXL-VLDL-CE%,0.88 [0.84-0.91],2.900e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-FC%,0.88 [0.85-0.91],6.396e-09,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.87 [0.84-0.91],7.896e-08,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.87 [0.84-0.91],3.226e-08,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-C%,0.87 [0.84-0.91],1.079e-07,***,Cholesterol to Total-Lipids in Small HDL percentage
Albumin,0.87 [0.84-0.90],6.526e-09,***,Albumin
Unsaturation,0.87 [0.84-0.90],3.509e-08,***,Degree of Unsaturation
M-HDL-L,0.87 [0.84-0.90],4.866e-08,***,Total-Lipids in Medium HDL
L-VLDL-CE,0.87 [0.83-0.90],6.287e-08,***,Cholesteryl Esters in Large VLDL
S-VLDL-L,0.87 [0.83-0.90],2.835e-08,***,Total-Lipids in Small VLDL
PUFA/MUFA,0.87 [0.83-0.90],5.031e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-FC%,0.87 [0.83-0.90],2.624e-10,***,Free Cholesterol to Total-Lipids in IDL percentage
VLDL-PL,0.86 [0.83-0.90],1.835e-08,***,Phospholipids in VLDL
L-VLDL-C%,0.86 [0.83-0.90],3.085e-09,***,Cholesterol to Total-Lipids in Large VLDL percentage
HDL-PL,0.86 [0.83-0.90],9.247e-09,***,Phospholipids in HDL
M-LDL-CE%,0.86 [0.83-0.89],5.841e-10,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.86 [0.83-0.89],1.720e-09,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-CE,0.86 [0.83-0.89],4.190e-09,***,Cholesteryl Esters in Very Large VLDL
M-HDL-CE,0.86 [0.83-0.89],1.341e-09,***,Cholesteryl Esters in Medium HDL
L-VLDL-CE%,0.86 [0.82-0.89],6.427e-11,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-P,0.86 [0.82-0.89],6.976e-10,***,Concentration of Medium HDL Particles
M-HDL-C,0.85 [0.82-0.89],2.254e-10,***,Cholesterol in Medium HDL
XS-VLDL-PL,0.85 [0.82-0.89],4.889e-11,***,Phospholipids in Very Small VLDL
SFA,0.85 [0.82-0.88],1.499e-11,***,Saturated Fatty Acids
XL-VLDL-FC%,0.85 [0.82-0.89],1.494e-10,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-L,0.85 [0.82-0.88],5.843e-12,***,Total-Lipids in HDL
DHA,0.84 [0.81-0.88],9.555e-12,***,Docosahexaenoic Acid
M-HDL-FC,0.84 [0.81-0.88],3.685e-12,***,Free Cholesterol in Medium HDL
VLDL-P,0.84 [0.81-0.88],1.105e-12,***,Concentration of VLDL Particles
S-HDL-PL,0.84 [0.81-0.88],1.070e-13,***,Phospholipids in Small HDL
XL-HDL-CE%,0.84 [0.81-0.87],7.489e-16,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.84 [0.81-0.87],3.632e-19,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-FA,0.84 [0.81-0.87],1.506e-15,***,Total-Fatty Acids
ApoA1,0.84 [0.81-0.87],9.053e-15,***,Apolipoprotein A1
VLDL-FC,0.84 [0.80-0.87],1.248e-14,***,Free Cholesterol in VLDL
XL-VLDL-CE%,0.83 [0.80-0.87],1.568e-14,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.83 [0.80-0.87],3.026e-14,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-CE,0.83 [0.80-0.87],1.572e-14,***,Cholesteryl Esters in HDL
S-VLDL-CE%,0.83 [0.80-0.86],7.219e-20,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
HDL-C,0.83 [0.80-0.86],3.203e-15,***,HDL Cholesterol
HDL-FC,0.83 [0.80-0.86],8.397e-15,***,Free Cholesterol in HDL
S-HDL-L,0.83 [0.80-0.86],7.472e-18,***,Total-Lipids in Small HDL
S-LDL-CE%,0.83 [0.80-0.86],5.441e-19,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-VLDL-L,0.82 [0.79-0.85],1.465e-18,***,Total-Lipids in Medium VLDL
XS-VLDL-L,0.82 [0.79-0.85],7.462e-19,***,Total-Lipids in Very Small VLDL
S-VLDL-CE,0.82 [0.79-0.85],1.671e-18,***,Cholesteryl Esters in Small VLDL
LA%,0.82 [0.79-0.85],7.153e-21,***,Linoleic Acid to Total-Fatty Acids percentage
M-VLDL-CE%,0.82 [0.79-0.84],3.676e-31,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-P,0.81 [0.78-0.84],8.238e-21,***,Concentration of Very Small VLDL Particles
S-VLDL-PL,0.81 [0.78-0.84],8.160e-21,***,Phospholipids in Small VLDL
M-HDL-FC%,0.81 [0.78-0.84],5.077e-25,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-FC,0.81 [0.78-0.84],5.169e-22,***,Free Cholesterol in Very Small VLDL
S-HDL-FC,0.81 [0.78-0.84],5.096e-24,***,Free Cholesterol in Small HDL
S-VLDL-C,0.80 [0.77-0.83],1.056e-23,***,Cholesterol in Small VLDL
