Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-CE%,1.13 [1.04-1.22],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.12 [1.04-1.21],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,1.12 [1.04-1.21],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,1.09 [1.01-1.17],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.02 [0.95-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG%,0.95 [0.88-1.02],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-PL%,0.92 [0.85-0.99],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,0.91 [0.84-0.98],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,0.88 [0.82-0.95],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG%,0.87 [0.81-0.94],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
