Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-CE,1.07 [0.97-1.18],1.000,,Cholesteryl Esters in LDL
Total-CE,1.06 [0.96-1.18],1.000,,Total-Esterified Cholesterol
HDL-CE,1.04 [0.94-1.16],1.000,,Cholesteryl Esters in HDL
M-LDL-TG%,1.04 [0.94-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-CE,1.03 [0.94-1.13],1.000,,Cholesteryl Esters in VLDL
L-VLDL-PL%,0.98 [0.90-1.08],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-C%,0.96 [0.86-1.06],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-FC%,0.90 [0.83-0.98],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.90 [0.81-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,0.86 [0.78-0.95],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
