Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,2.22 [1.80-2.73],1.151e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG%,2.14 [1.75-2.61],1.329e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,2.14 [1.77-2.58],8.051e-10,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.89 [1.58-2.28],1.850e-06,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.82 [1.54-2.16],6.055e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.82 [1.52-2.18],8.150e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.73 [1.46-2.06],8.971e-05,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.71 [1.44-2.03],1.584e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,1.70 [1.41-2.06],0.010,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,1.66 [1.42-1.93],1.077e-05,***,Creatinine
XL-HDL-TG%,1.64 [1.37-1.97],0.018,*,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-TG%,1.57 [1.33-1.86],0.029,*,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-FC%,0.69 [0.60-0.79],0.026,*,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC%,0.64 [0.55-0.75],0.004,**,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.64 [0.56-0.73],2.676e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.63 [0.54-0.74],0.001,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.63 [0.55-0.72],4.436e-06,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,0.63 [0.54-0.74],0.001,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-C%,0.62 [0.53-0.72],2.167e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.61 [0.53-0.71],4.485e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.61 [0.52-0.71],1.686e-04,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-C%,0.61 [0.52-0.70],5.070e-06,***,Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,0.61 [0.50-0.73],0.027,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-CE%,0.59 [0.51-0.69],1.468e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-FC%,0.57 [0.49-0.66],1.361e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-P,0.56 [0.46-0.68],6.745e-04,***,Total-Concentration of Lipoprotein Particles
M-HDL-CE%,0.56 [0.48-0.65],4.981e-09,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-PL,0.55 [0.46-0.68],9.932e-04,***,Phospholipids in Medium HDL
HDL-size,0.54 [0.42-0.68],0.039,*,Average Diameter for HDL Particles
M-HDL-L,0.53 [0.44-0.65],3.434e-05,***,Total-Lipids in Medium HDL
ApoA1,0.53 [0.44-0.64],3.607e-05,***,Apolipoprotein A1
HDL-PL,0.53 [0.43-0.64],6.992e-05,***,Phospholipids in HDL
HDL-P,0.53 [0.43-0.64],6.278e-05,***,Concentration of HDL Particles
HDL-L,0.51 [0.42-0.62],5.452e-06,***,Total-Lipids in HDL
M-HDL-C%,0.51 [0.44-0.59],3.533e-12,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-P,0.50 [0.40-0.62],3.693e-05,***,Concentration of Medium HDL Particles
HDL-FC,0.49 [0.39-0.61],6.776e-05,***,Free Cholesterol in HDL
M-HDL-FC,0.49 [0.40-0.61],1.282e-05,***,Free Cholesterol in Medium HDL
L-HDL-L,0.47 [0.37-0.59],1.072e-04,***,Total-Lipids in Large HDL
M-HDL-C,0.46 [0.38-0.57],4.868e-08,***,Cholesterol in Medium HDL
L-HDL-PL,0.46 [0.36-0.59],1.494e-04,***,Phospholipids in Large HDL
L-HDL-FC,0.46 [0.35-0.60],0.002,**,Free Cholesterol in Large HDL
M-HDL-CE,0.46 [0.37-0.56],2.765e-08,***,Cholesteryl Esters in Medium HDL
L-HDL-P,0.46 [0.35-0.60],0.003,**,Concentration of Large HDL Particles
HDL-C,0.44 [0.35-0.54],8.464e-09,***,HDL Cholesterol
L-HDL-C,0.44 [0.34-0.56],7.338e-05,***,Cholesterol in Large HDL
L-HDL-CE,0.43 [0.33-0.56],5.822e-05,***,Cholesteryl Esters in Large HDL
HDL-CE,0.42 [0.34-0.53],1.974e-09,***,Cholesteryl Esters in HDL
