Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-size,1.11 [1.10-1.13],1.159e-43,***,Average Diameter for HDL Particles
XL-HDL-PL%,1.11 [1.09-1.13],4.111e-38,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-PL,1.11 [1.09-1.12],7.155e-42,***,Phospholipids in Large HDL
L-HDL-L,1.11 [1.09-1.12],8.561e-41,***,Total-Lipids in Large HDL
L-HDL-FC,1.10 [1.09-1.12],1.013e-38,***,Free Cholesterol in Large HDL
L-HDL-P,1.10 [1.09-1.12],1.714e-37,***,Concentration of Large HDL Particles
XL-HDL-PL,1.10 [1.09-1.12],9.553e-37,***,Phospholipids in Very Large HDL
GlycA,1.10 [1.08-1.11],5.038e-33,***,Glycoprotein Acetyls
L-HDL-C,1.10 [1.08-1.11],1.521e-33,***,Cholesterol in Large HDL
XL-HDL-L,1.10 [1.08-1.11],3.922e-34,***,Total-Lipids in Very Large HDL
HDL-FC,1.10 [1.08-1.11],1.665e-34,***,Free Cholesterol in HDL
L-HDL-CE,1.09 [1.08-1.11],3.606e-31,***,Cholesteryl Esters in Large HDL
XL-HDL-P,1.09 [1.08-1.11],3.665e-32,***,Concentration of Very Large HDL Particles
HDL-PL,1.09 [1.08-1.11],4.543e-32,***,Phospholipids in HDL
L-HDL-TG,1.09 [1.08-1.11],6.349e-33,***,Triglycerides in Large HDL
HDL-L,1.09 [1.08-1.11],2.832e-30,***,Total-Lipids in HDL
S-HDL-PL%,1.09 [1.08-1.11],1.597e-30,***,Phospholipids to Total-Lipids in Small HDL percentage
XL-HDL-CE,1.09 [1.07-1.10],1.135e-27,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,1.09 [1.07-1.10],2.913e-26,***,Cholesterol in Very Large HDL
M-HDL-FC%,1.08 [1.07-1.10],2.544e-24,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-FC,1.08 [1.07-1.10],3.692e-26,***,Free Cholesterol in Medium HDL
HDL-C,1.08 [1.07-1.10],5.883e-24,***,HDL Cholesterol
ApoA1,1.08 [1.06-1.09],8.697e-23,***,Apolipoprotein A1
M-HDL-PL,1.08 [1.06-1.09],3.820e-22,***,Phospholipids in Medium HDL
HDL-CE,1.08 [1.06-1.09],1.315e-20,***,Cholesteryl Esters in HDL
M-HDL-P,1.08 [1.06-1.09],6.892e-22,***,Concentration of Medium HDL Particles
M-HDL-L,1.08 [1.06-1.09],5.847e-21,***,Total-Lipids in Medium HDL
PC,1.08 [1.06-1.09],6.873e-21,***,Phosphatidylcholines
L-HDL-FC%,1.07 [1.06-1.09],2.965e-18,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Phosphoglyc,1.07 [1.06-1.09],5.008e-19,***,Phosphoglycerides
XL-HDL-FC,1.07 [1.06-1.09],8.065e-18,***,Free Cholesterol in Very Large HDL
Cholines,1.07 [1.06-1.09],1.744e-18,***,Total-Cholines
Gly,1.07 [1.06-1.09],1.019e-17,***,Glycine
M-HDL-C,1.07 [1.06-1.09],2.220e-17,***,Cholesterol in Medium HDL
SM,1.07 [1.05-1.08],1.584e-16,***,Sphingomyelins
M-HDL-CE,1.07 [1.05-1.08],2.822e-15,***,Cholesteryl Esters in Medium HDL
S-HDL-FC%,1.06 [1.05-1.08],1.838e-13,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-PL,1.06 [1.05-1.08],1.098e-13,***,Phospholipids in Very Small VLDL
XS-VLDL-L,1.06 [1.05-1.08],2.742e-13,***,Total-Lipids in Very Small VLDL
Total-PL,1.06 [1.05-1.08],7.697e-13,***,Total-Phospholipids in Lipoprotein Particles
DHA,1.06 [1.05-1.08],2.060e-12,***,Docosahexaenoic Acid
XL-HDL-TG,1.06 [1.05-1.07],6.296e-13,***,Triglycerides in Very Large HDL
XS-VLDL-FC,1.06 [1.04-1.07],5.999e-12,***,Free Cholesterol in Very Small VLDL
Omega-3,1.06 [1.04-1.07],5.226e-11,***,Omega-3 Fatty Acids
XS-VLDL-C,1.06 [1.04-1.07],3.341e-11,***,Cholesterol in Very Small VLDL
HDL-P,1.06 [1.04-1.07],1.252e-10,***,Concentration of HDL Particles
IDL-TG,1.06 [1.04-1.07],3.285e-10,***,Triglycerides in IDL
XS-VLDL-CE,1.06 [1.04-1.07],1.457e-10,***,Cholesteryl Esters in Very Small VLDL
Total-P,1.05 [1.04-1.07],9.777e-10,***,Total-Concentration of Lipoprotein Particles
M-HDL-TG,1.05 [1.04-1.07],1.584e-08,***,Triglycerides in Medium HDL
XS-VLDL-P,1.05 [1.04-1.07],4.128e-09,***,Concentration of Very Small VLDL Particles
HDL-TG,1.05 [1.04-1.07],1.075e-07,***,Triglycerides in HDL
XS-VLDL-TG,1.05 [1.03-1.06],1.291e-06,***,Triglycerides in Very Small VLDL
PUFA,1.05 [1.03-1.06],2.060e-06,***,Polyunsaturated Fatty Acids
Omega-3%,1.04 [1.03-1.06],2.448e-04,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-PL,1.04 [1.03-1.06],6.529e-05,***,Phospholipids in IDL
M-LDL-TG%,1.04 [1.03-1.06],0.001,**,Triglycerides to Total-Lipids in Medium LDL percentage
Glu,1.04 [1.03-1.05],0.004,**,Glucose
Total-FA,1.04 [1.03-1.05],0.004,**,Total-Fatty Acids
DHA%,1.04 [1.03-1.05],0.010,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-6,1.04 [1.03-1.05],0.004,**,Omega-6 Fatty Acids
Unsaturation,1.04 [1.02-1.05],0.015,*,Degree of Unsaturation
IDL-PL%,1.04 [1.02-1.05],0.006,**,Phospholipids to Total-Lipids in IDL percentage
L-LDL-TG,1.04 [1.02-1.05],0.009,**,Triglycerides in Large LDL
S-HDL-FC,1.04 [1.02-1.05],0.006,**,Free Cholesterol in Small HDL
SFA,1.04 [1.02-1.05],0.013,*,Saturated Fatty Acids
S-LDL-C%,0.96 [0.95-0.98],0.006,**,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.96 [0.95-0.97],0.003,**,Phospholipids to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.96 [0.95-0.98],0.004,**,Apolipoprotein B to Apolipoprotein A1 ratio
Albumin,0.96 [0.95-0.97],0.004,**,Albumin
Lactate,0.96 [0.95-0.97],0.004,**,Lactate
TG/PG,0.96 [0.95-0.97],0.003,**,Triglycerides to Phosphoglycerides ratio
XL-HDL-CE%,0.96 [0.95-0.97],1.567e-04,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.96 [0.94-0.97],1.146e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-LDL-PL%,0.95 [0.94-0.97],2.987e-06,***,Phospholipids to Total-Lipids in Large LDL percentage
His,0.95 [0.94-0.97],7.818e-07,***,Histidine
Ile,0.95 [0.93-0.96],1.007e-09,***,Isoleucine
S-HDL-C%,0.94 [0.93-0.96],3.138e-11,***,Cholesterol to Total-Lipids in Small HDL percentage
VLDL-size,0.94 [0.93-0.95],4.068e-12,***,Average Diameter for VLDL Particles
S-HDL-CE%,0.93 [0.92-0.94],8.796e-21,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Val,0.93 [0.91-0.94],3.371e-20,***,Valine
Total-BCAA,0.92 [0.91-0.94],9.329e-24,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,0.91 [0.90-0.93],2.727e-31,***,Leucine
XL-HDL-C%,0.90 [0.88-0.91],4.290e-48,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-FC%,0.89 [0.88-0.90],1.298e-52,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,0.89 [0.88-0.90],7.688e-58,***,Creatinine
