Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-TG%,2.40 [2.09-2.76],4.284e-30,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,2.37 [1.97-2.85],1.183e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,2.28 [2.03-2.57],3.714e-36,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.28 [2.00-2.60],6.324e-30,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-TG%,2.18 [1.95-2.43],4.904e-39,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.12 [1.90-2.36],2.807e-37,***,Triglycerides to Total-Lipids in Large LDL percentage
Glu-lactate,2.04 [1.85-2.25],1.269e-41,***,Glucose-lactate
M-LDL-TG%,2.01 [1.81-2.23],4.439e-33,***,Triglycerides to Total-Lipids in Medium LDL percentage
Glu,2.00 [1.79-2.23],2.362e-29,***,Glucose
XS-VLDL-PL%,1.92 [1.71-2.15],7.497e-24,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Sc-ala,1.73 [1.56-1.93],8.078e-19,***,Spectrometer-corrected alanine
L-HDL-PL%,1.70 [1.54-1.88],2.456e-19,***,Phospholipids to Total-Lipids in Large HDL percentage
IDL-PL%,1.66 [1.48-1.86],2.980e-12,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.65 [1.48-1.85],1.282e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
S-LDL-PL%,1.65 [1.47-1.85],1.959e-12,***,Phospholipids to Total-Lipids in Small LDL percentage
Ala,1.58 [1.41-1.76],1.338e-10,***,Alanine
XXL-VLDL-PL%,1.54 [1.35-1.75],2.576e-05,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,1.53 [1.35-1.75],3.092e-05,***,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.40 [1.24-1.59],0.037,*,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.38 [1.23-1.54],0.005,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.37 [1.22-1.54],0.022,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-CE%,0.76 [0.68-0.84],0.027,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-FC%,0.75 [0.68-0.83],0.010,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-C%,0.73 [0.66-0.79],8.387e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-L,0.72 [0.64-0.81],0.010,*,Total-Lipids in Small HDL
S-HDL-CE,0.71 [0.63-0.80],0.004,**,Cholesteryl Esters in Small HDL
L-VLDL-FC,0.70 [0.61-0.80],0.041,*,Free Cholesterol in Large VLDL
XL-VLDL-FC,0.70 [0.61-0.80],0.045,*,Free Cholesterol in Very Large VLDL
IDL-FC%,0.70 [0.63-0.78],2.613e-06,***,Free Cholesterol to Total-Lipids in IDL percentage
HDL-PL,0.70 [0.62-0.79],0.007,**,Phospholipids in HDL
L-LDL-CE%,0.69 [0.62-0.76],5.383e-07,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-FC,0.68 [0.60-0.78],0.002,**,Free Cholesterol in Medium HDL
S-HDL-C,0.68 [0.60-0.76],3.232e-05,***,Cholesterol in Small HDL
XXL-VLDL-CE%,0.68 [0.60-0.77],1.824e-04,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-PL%,0.68 [0.62-0.74],6.209e-13,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
ApoA1,0.67 [0.59-0.76],5.201e-05,***,Apolipoprotein A1
L-HDL-L,0.67 [0.58-0.77],0.011,*,Total-Lipids in Large HDL
XS-VLDL-FC%,0.67 [0.61-0.73],5.017e-13,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-L,0.66 [0.58-0.75],4.493e-05,***,Total-Lipids in HDL
S-HDL-P,0.66 [0.58-0.75],4.533e-06,***,Concentration of Small HDL Particles
HDL-CE,0.65 [0.57-0.75],7.407e-05,***,Cholesteryl Esters in HDL
L-HDL-FC%,0.65 [0.60-0.70],5.302e-22,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE,0.64 [0.55-0.75],0.005,**,Cholesteryl Esters in Large HDL
M-VLDL-CE%,0.64 [0.60-0.68],2.080e-34,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
HDL-C,0.63 [0.55-0.72],2.845e-06,***,HDL Cholesterol
L-HDL-C,0.63 [0.54-0.74],0.001,**,Cholesterol in Large HDL
S-HDL-FC,0.63 [0.56-0.71],7.888e-09,***,Free Cholesterol in Small HDL
HDL-P,0.63 [0.55-0.71],9.852e-08,***,Concentration of HDL Particles
VLDL-L,0.62 [0.55-0.71],1.304e-08,***,Total-Lipids in VLDL
M-LDL-CE%,0.61 [0.55-0.69],2.227e-12,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-C,0.61 [0.53-0.70],2.389e-07,***,Cholesterol in Large VLDL
XL-HDL-PL,0.61 [0.52-0.72],8.042e-04,***,Phospholipids in Very Large HDL
L-HDL-P,0.61 [0.52-0.72],9.242e-04,***,Concentration of Large HDL Particles
L-VLDL-C%,0.61 [0.54-0.68],8.113e-11,***,Cholesterol to Total-Lipids in Large VLDL percentage
SFA,0.61 [0.54-0.68],3.486e-11,***,Saturated Fatty Acids
LA%,0.60 [0.54-0.67],4.774e-15,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-P,0.60 [0.52-0.69],7.581e-08,***,Concentration of Small VLDL Particles
M-HDL-FC%,0.59 [0.54-0.66],1.254e-19,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-FC,0.59 [0.50-0.70],8.743e-05,***,Free Cholesterol in Large HDL
XL-VLDL-C,0.59 [0.52-0.68],2.310e-08,***,Cholesterol in Very Large VLDL
Total-FA,0.59 [0.52-0.66],2.572e-14,***,Total-Fatty Acids
L-VLDL-CE%,0.58 [0.52-0.66],5.000e-14,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-FC%,0.57 [0.52-0.63],4.233e-27,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-FC%,0.57 [0.50-0.65],1.045e-11,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C%,0.57 [0.53-0.62],6.079e-35,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,0.57 [0.52-0.63],6.599e-24,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-L,0.57 [0.50-0.65],8.157e-12,***,Total-Lipids in Small VLDL
HDL-FC,0.57 [0.49-0.65],9.904e-10,***,Free Cholesterol in HDL
S-LDL-CE%,0.56 [0.50-0.62],1.298e-21,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-P,0.56 [0.49-0.63],1.479e-14,***,Total-Concentration of Lipoprotein Particles
VLDL-PL,0.55 [0.48-0.63],1.205e-13,***,Phospholipids in VLDL
XL-VLDL-FC%,0.55 [0.48-0.63],1.330e-12,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-L,0.55 [0.47-0.65],2.638e-07,***,Total-Lipids in Very Large HDL
Phosphoglyc,0.55 [0.49-0.61],8.408e-21,***,Phosphoglycerides
XL-VLDL-CE%,0.54 [0.48-0.62],1.699e-15,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC,0.54 [0.46-0.63],2.949e-10,***,Free Cholesterol in Very Large HDL
M-VLDL-FC%,0.54 [0.49-0.59],6.034e-37,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C%,0.54 [0.49-0.58],4.968e-43,***,Cholesterol to Total-Lipids in Medium LDL percentage
PC,0.53 [0.48-0.60],3.050e-22,***,Phosphatidylcholines
L-VLDL-CE,0.53 [0.46-0.61],2.415e-13,***,Cholesteryl Esters in Large VLDL
IDL-C%,0.53 [0.49-0.58],1.826e-40,***,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-C%,0.52 [0.47-0.58],1.752e-32,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-CE%,0.52 [0.48-0.57],2.392e-41,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-VLDL-C%,0.52 [0.45-0.60],3.977e-15,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Cholines,0.51 [0.46-0.57],1.177e-26,***,Total-Cholines
M-VLDL-PL%,0.51 [0.47-0.56],4.942e-46,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-C%,0.51 [0.47-0.56],2.829e-44,***,Cholesterol to Total-Lipids in Large LDL percentage
ApoB/ApoA1,0.51 [0.45-0.58],3.536e-18,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-CE,0.51 [0.44-0.59],3.370e-15,***,Cholesteryl Esters in Very Large VLDL
S-LDL-C%,0.51 [0.46-0.55],3.186e-45,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.51 [0.46-0.55],1.826e-43,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.50 [0.46-0.55],7.704e-47,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE,0.50 [0.42-0.60],1.686e-09,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,0.50 [0.42-0.59],3.320e-10,***,Cholesterol in Very Large HDL
PUFA,0.50 [0.44-0.56],3.361e-28,***,Polyunsaturated Fatty Acids
M-VLDL-L,0.50 [0.44-0.56],3.038e-21,***,Total-Lipids in Medium VLDL
VLDL-FC,0.49 [0.43-0.56],3.723e-19,***,Free Cholesterol in VLDL
S-VLDL-FC%,0.49 [0.45-0.54],5.655e-39,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-P,0.49 [0.42-0.56],8.201e-18,***,Concentration of VLDL Particles
XS-VLDL-PL,0.48 [0.42-0.55],3.982e-20,***,Phospholipids in Very Small VLDL
Total-PL,0.48 [0.43-0.53],5.669e-35,***,Total-Phospholipids in Lipoprotein Particles
Omega-6,0.47 [0.42-0.53],2.830e-33,***,Omega-6 Fatty Acids
Total-L,0.47 [0.42-0.52],3.978e-39,***,Total-Lipids in Lipoprotein Particles
S-VLDL-PL%,0.47 [0.42-0.52],2.482e-36,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-P,0.47 [0.39-0.56],1.036e-11,***,Concentration of Very Large HDL Particles
LA,0.46 [0.41-0.52],2.669e-36,***,Linoleic Acid
SM,0.45 [0.40-0.51],1.527e-32,***,Sphingomyelins
S-VLDL-PL,0.45 [0.39-0.52],1.533e-23,***,Phospholipids in Small VLDL
S-VLDL-CE,0.45 [0.39-0.52],1.075e-22,***,Cholesteryl Esters in Small VLDL
XS-VLDL-L,0.45 [0.39-0.51],1.116e-26,***,Total-Lipids in Very Small VLDL
VLDL-C,0.44 [0.38-0.50],8.329e-31,***,VLDL Cholesterol
S-LDL-PL,0.43 [0.38-0.49],1.323e-30,***,Phospholipids in Small LDL
M-LDL-L,0.43 [0.38-0.49],1.219e-35,***,Total-Lipids in Medium LDL
S-VLDL-C,0.43 [0.37-0.49],1.041e-26,***,Cholesterol in Small VLDL
LDL-L,0.43 [0.38-0.48],3.101e-45,***,Total-Lipids in LDL
XS-VLDL-P,0.42 [0.36-0.49],6.274e-27,***,Concentration of Very Small VLDL Particles
Total-C,0.42 [0.38-0.47],7.640e-53,***,Total-Cholesterol
Total-CE,0.42 [0.38-0.47],8.397e-52,***,Total-Esterified Cholesterol
XS-VLDL-FC,0.42 [0.36-0.48],6.189e-28,***,Free Cholesterol in Very Small VLDL
M-LDL-CE,0.42 [0.37-0.48],2.174e-34,***,Cholesteryl Esters in Medium LDL
M-VLDL-P,0.42 [0.36-0.48],3.157e-26,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.41 [0.36-0.48],2.215e-29,***,Phospholipids in Medium VLDL
Clinical LDL-C,0.41 [0.37-0.46],3.328e-52,***,Clinical LDL Cholesterol
LDL-CE,0.41 [0.37-0.47],3.571e-44,***,Cholesteryl Esters in LDL
M-LDL-PL,0.41 [0.36-0.47],2.291e-33,***,Phospholipids in Medium LDL
LDL-C,0.41 [0.37-0.46],5.810e-47,***,LDL Cholesterol
S-LDL-FC,0.41 [0.36-0.47],5.718e-35,***,Free Cholesterol in Small LDL
M-LDL-C,0.41 [0.36-0.47],1.802e-37,***,Cholesterol in Medium LDL
S-LDL-L,0.41 [0.36-0.47],6.697e-35,***,Total-Lipids in Small LDL
L-LDL-L,0.41 [0.36-0.46],2.925e-47,***,Total-Lipids in Large LDL
Non-HDL-C,0.41 [0.37-0.46],4.730e-52,***,Total-Cholesterol Minus HDL-C
L-LDL-CE,0.40 [0.35-0.45],5.057e-45,***,Cholesteryl Esters in Large LDL
L-LDL-C,0.40 [0.35-0.45],5.059e-48,***,Cholesterol in Large LDL
LDL-PL,0.39 [0.35-0.44],6.704e-43,***,Phospholipids in LDL
VLDL-CE,0.39 [0.34-0.45],1.539e-36,***,Cholesteryl Esters in VLDL
Total-FC,0.39 [0.35-0.44],2.639e-50,***,Total-Free Cholesterol
S-VLDL-FC,0.39 [0.34-0.45],1.161e-31,***,Free Cholesterol in Small VLDL
S-LDL-CE,0.39 [0.34-0.44],4.832e-36,***,Cholesteryl Esters in Small LDL
S-LDL-C,0.39 [0.34-0.44],4.900e-38,***,Cholesterol in Small LDL
M-LDL-FC,0.39 [0.34-0.44],9.833e-39,***,Free Cholesterol in Medium LDL
Remnant-C,0.39 [0.34-0.43],7.240e-51,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
ApoB,0.38 [0.34-0.44],1.696e-42,***,Apolipoprotein B
S-LDL-P,0.38 [0.33-0.44],3.839e-33,***,Concentration of Small LDL Particles
M-VLDL-FC,0.38 [0.33-0.44],4.117e-33,***,Free Cholesterol in Medium VLDL
M-LDL-P,0.37 [0.32-0.43],2.733e-34,***,Concentration of Medium LDL Particles
IDL-L,0.37 [0.33-0.42],8.411e-54,***,Total-Lipids in IDL
LDL-FC,0.37 [0.33-0.42],2.394e-46,***,Free Cholesterol in LDL
L-LDL-PL,0.37 [0.32-0.42],3.276e-46,***,Phospholipids in Large LDL
XS-VLDL-C,0.37 [0.32-0.42],1.668e-39,***,Cholesterol in Very Small VLDL
L-LDL-P,0.36 [0.31-0.42],4.271e-36,***,Concentration of Large LDL Particles
LDL-P,0.36 [0.31-0.42],3.309e-37,***,Concentration of LDL Particles
IDL-C,0.36 [0.32-0.41],4.079e-55,***,Cholesterol in IDL
L-LDL-FC,0.35 [0.31-0.40],2.118e-48,***,Free Cholesterol in Large LDL
IDL-CE,0.35 [0.31-0.40],6.477e-55,***,Cholesteryl Esters in IDL
XS-VLDL-CE,0.35 [0.30-0.40],1.289e-42,***,Cholesteryl Esters in Very Small VLDL
IDL-PL,0.35 [0.30-0.40],4.919e-48,***,Phospholipids in IDL
IDL-FC,0.35 [0.30-0.40],5.381e-48,***,Free Cholesterol in IDL
M-VLDL-C,0.35 [0.30-0.40],5.332e-43,***,Cholesterol in Medium VLDL
M-VLDL-CE,0.33 [0.29-0.39],3.658e-45,***,Cholesteryl Esters in Medium VLDL
IDL-P,0.32 [0.27-0.37],4.326e-45,***,Concentration of IDL Particles
