Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.23 [1.19-1.27],7.393e-30,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.22 [1.18-1.26],5.344e-25,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.22 [1.18-1.26],3.198e-26,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.22 [1.18-1.26],7.601e-27,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,1.21 [1.16-1.25],1.474e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.20 [1.16-1.24],1.981e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.19 [1.15-1.23],9.390e-17,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-PL%,1.18 [1.14-1.22],2.118e-17,***,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG%,1.16 [1.13-1.20],1.023e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.13 [1.09-1.18],4.332e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.13 [1.10-1.17],8.609e-08,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.12 [1.08-1.16],4.245e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
Creatinine,1.10 [1.07-1.14],0.001,**,Creatinine
S-LDL-PL%,1.10 [1.06-1.14],0.021,*,Phospholipids to Total-Lipids in Small LDL percentage
IDL-FC%,0.91 [0.88-0.94],0.007,**,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-FC%,0.91 [0.88-0.94],0.007,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-PL,0.91 [0.88-0.94],0.030,*,Phospholipids in Medium HDL
L-VLDL-C%,0.91 [0.88-0.94],0.013,*,Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE%,0.91 [0.88-0.94],0.046,*,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
ApoB/ApoA1,0.91 [0.88-0.94],0.013,*,Apolipoprotein B to Apolipoprotein A1 ratio
S-LDL-FC%,0.91 [0.88-0.94],4.995e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-CE%,0.91 [0.88-0.94],0.005,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-VLDL-CE,0.91 [0.87-0.94],0.010,**,Cholesteryl Esters in Very Large VLDL
L-HDL-CE%,0.91 [0.88-0.93],1.375e-04,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-L,0.90 [0.87-0.93],0.001,**,Total-Lipids in Medium HDL
SFA,0.90 [0.87-0.93],1.519e-04,***,Saturated Fatty Acids
VLDL-P,0.90 [0.87-0.93],3.357e-04,***,Concentration of VLDL Particles
Total-FA,0.90 [0.87-0.93],8.579e-05,***,Total-Fatty Acids
M-HDL-CE,0.90 [0.87-0.93],4.199e-04,***,Cholesteryl Esters in Medium HDL
VLDL-FC,0.90 [0.87-0.93],1.992e-04,***,Free Cholesterol in VLDL
L-VLDL-CE%,0.90 [0.87-0.93],7.184e-05,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-P,0.90 [0.86-0.93],2.900e-04,***,Concentration of Medium HDL Particles
HDL-PL,0.90 [0.86-0.93],2.186e-04,***,Phospholipids in HDL
XL-HDL-CE%,0.89 [0.87-0.92],2.736e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-C,0.89 [0.86-0.93],1.127e-04,***,Cholesterol in Medium HDL
S-LDL-CE%,0.89 [0.86-0.92],1.558e-05,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-PL,0.89 [0.86-0.92],1.532e-05,***,Phospholipids in Small HDL
LA%,0.89 [0.86-0.92],1.101e-05,***,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-C%,0.89 [0.86-0.92],5.419e-08,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-PL,0.89 [0.86-0.92],4.812e-06,***,Phospholipids in Very Small VLDL
M-HDL-FC,0.89 [0.85-0.92],7.420e-06,***,Free Cholesterol in Medium HDL
HDL-L,0.88 [0.85-0.92],2.621e-06,***,Total-Lipids in HDL
M-VLDL-L,0.88 [0.85-0.91],4.751e-07,***,Total-Lipids in Medium VLDL
S-HDL-L,0.88 [0.85-0.91],2.260e-07,***,Total-Lipids in Small HDL
XS-VLDL-FC%,0.88 [0.85-0.91],5.733e-10,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
ApoA1,0.88 [0.85-0.91],3.327e-07,***,Apolipoprotein A1
HDL-CE,0.88 [0.85-0.91],3.506e-07,***,Cholesteryl Esters in HDL
XL-VLDL-C%,0.88 [0.85-0.91],2.564e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE,0.88 [0.85-0.91],3.240e-08,***,Cholesteryl Esters in Small VLDL
S-VLDL-PL,0.88 [0.85-0.91],1.630e-08,***,Phospholipids in Small VLDL
L-HDL-FC%,0.87 [0.85-0.90],5.822e-13,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-C,0.87 [0.84-0.91],7.245e-08,***,HDL Cholesterol
HDL-FC,0.87 [0.84-0.91],1.167e-07,***,Free Cholesterol in HDL
M-VLDL-P,0.87 [0.84-0.90],1.958e-09,***,Concentration of Medium VLDL Particles
PUFA,0.87 [0.84-0.90],1.395e-10,***,Polyunsaturated Fatty Acids
XL-VLDL-CE%,0.87 [0.84-0.90],5.258e-09,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-L,0.87 [0.84-0.90],1.068e-10,***,Total-Lipids in Very Small VLDL
S-HDL-FC,0.87 [0.84-0.90],4.862e-11,***,Free Cholesterol in Small HDL
S-HDL-CE,0.86 [0.84-0.90],2.710e-11,***,Cholesteryl Esters in Small HDL
VLDL-C,0.86 [0.84-0.90],2.456e-11,***,VLDL Cholesterol
S-VLDL-C,0.86 [0.84-0.90],8.027e-11,***,Cholesterol in Small VLDL
XS-VLDL-P,0.86 [0.83-0.89],4.735e-11,***,Concentration of Very Small VLDL Particles
M-VLDL-PL,0.86 [0.83-0.89],2.458e-11,***,Phospholipids in Medium VLDL
S-HDL-C,0.86 [0.83-0.89],2.337e-12,***,Cholesterol in Small HDL
HDL-P,0.86 [0.83-0.89],1.761e-11,***,Concentration of HDL Particles
S-VLDL-CE%,0.86 [0.83-0.89],3.874e-14,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-P,0.86 [0.83-0.89],2.077e-12,***,Concentration of Small HDL Particles
XS-VLDL-FC,0.86 [0.83-0.89],3.867e-12,***,Free Cholesterol in Very Small VLDL
Phosphoglyc,0.86 [0.83-0.89],1.392e-13,***,Phosphoglycerides
Omega-6,0.86 [0.83-0.89],4.302e-14,***,Omega-6 Fatty Acids
PC,0.85 [0.82-0.88],8.587e-15,***,Phosphatidylcholines
M-VLDL-CE%,0.85 [0.83-0.88],7.046e-22,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC,0.85 [0.82-0.88],2.360e-14,***,Free Cholesterol in Medium VLDL
S-VLDL-FC,0.85 [0.82-0.88],2.348e-14,***,Free Cholesterol in Small VLDL
