Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.47 [1.39-1.56],5.908e-36,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.45 [1.34-1.56],1.502e-16,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,1.44 [1.36-1.53],1.732e-27,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.44 [1.36-1.52],1.875e-30,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.39 [1.31-1.46],2.664e-27,***,Triglycerides to Total-Lipids in IDL percentage
Creatinine,1.37 [1.30-1.45],1.678e-28,***,Creatinine
TG/PG,1.37 [1.29-1.45],5.776e-22,***,Triglycerides to Phosphoglycerides ratio
S-VLDL-TG%,1.37 [1.29-1.46],6.999e-19,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-PL%,1.36 [1.28-1.43],2.931e-22,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.36 [1.29-1.43],2.321e-24,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.35 [1.27-1.43],7.410e-17,***,Triglycerides to Total-Lipids in Small HDL percentage
L-LDL-TG%,1.35 [1.28-1.42],6.069e-22,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.34 [1.27-1.42],1.707e-18,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.33 [1.26-1.41],1.642e-17,***,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-size,1.32 [1.24-1.40],1.803e-14,***,Average Diameter for VLDL Particles
XS-VLDL-PL%,1.31 [1.24-1.39],1.695e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.31 [1.24-1.38],1.923e-17,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.30 [1.23-1.37],1.553e-15,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-TG%,1.28 [1.20-1.36],5.310e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.27 [1.18-1.37],7.416e-05,***,Phospholipids to Total-Lipids in Large VLDL percentage
MUFA%,1.27 [1.19-1.35],2.316e-09,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
