Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-size,1.23 [1.19-1.27],1.728e-32,***,Average Diameter for HDL Particles
XS-VLDL-CE%,1.22 [1.18-1.26],5.658e-25,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-CE,1.22 [1.18-1.26],1.036e-30,***,Cholesteryl Esters in Large HDL
L-HDL-C,1.22 [1.18-1.26],1.881e-30,***,Cholesterol in Large HDL
XL-HDL-PL%,1.22 [1.17-1.26],2.066e-20,***,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-C%,1.21 [1.17-1.25],2.408e-23,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-L,1.21 [1.17-1.25],1.218e-27,***,Total-Lipids in Large HDL
L-LDL-FC%,1.21 [1.17-1.25],1.805e-22,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,1.21 [1.17-1.25],2.111e-20,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-C%,1.21 [1.16-1.25],9.600e-19,***,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-PL,1.21 [1.17-1.24],8.503e-29,***,Phospholipids in Very Large HDL
L-HDL-FC,1.20 [1.17-1.24],1.669e-27,***,Free Cholesterol in Large HDL
XL-HDL-CE,1.20 [1.17-1.24],1.743e-27,***,Cholesteryl Esters in Very Large HDL
XL-HDL-L,1.20 [1.17-1.24],3.918e-27,***,Total-Lipids in Very Large HDL
XL-HDL-C,1.20 [1.16-1.24],8.844e-27,***,Cholesterol in Very Large HDL
M-VLDL-C%,1.20 [1.16-1.24],1.823e-20,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-HDL-P,1.20 [1.16-1.24],2.201e-26,***,Concentration of Large HDL Particles
L-HDL-PL,1.20 [1.16-1.24],6.685e-25,***,Phospholipids in Large HDL
L-HDL-CE%,1.19 [1.15-1.24],3.655e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-VLDL-CE%,1.19 [1.16-1.23],3.566e-22,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-FC%,1.19 [1.15-1.23],1.015e-17,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-C%,1.19 [1.15-1.22],5.058e-22,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,1.19 [1.15-1.22],3.551e-21,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC,1.18 [1.14-1.21],1.199e-20,***,Free Cholesterol in Very Large HDL
XL-HDL-P,1.18 [1.14-1.21],7.973e-21,***,Concentration of Very Large HDL Particles
PUFA/MUFA,1.17 [1.13-1.21],4.797e-15,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-FC%,1.17 [1.13-1.21],1.719e-15,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-C%,1.17 [1.13-1.21],6.597e-14,***,Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,1.16 [1.13-1.20],4.978e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-CE,1.16 [1.13-1.20],5.577e-16,***,Cholesteryl Esters in HDL
HDL-C,1.16 [1.13-1.20],1.544e-15,***,HDL Cholesterol
S-VLDL-FC%,1.16 [1.12-1.20],7.062e-14,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
