Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.37 [1.25-1.50],7.022e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.21 [1.10-1.33],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.10 [0.99-1.22],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-TG%,1.09 [0.99-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.02 [0.93-1.13],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.79 [0.72-0.86],0.016,*,Cholesterol to Total-Lipids in Small LDL percentage
Clinical LDL-C,0.78 [0.71-0.85],0.017,*,Clinical LDL Cholesterol
LDL-FC,0.78 [0.71-0.86],0.043,*,Free Cholesterol in LDL
Remnant-C,0.78 [0.71-0.85],0.017,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-FC,0.78 [0.71-0.85],0.035,*,Free Cholesterol in Large LDL
S-LDL-L,0.77 [0.70-0.85],0.050,*,Total-Lipids in Small LDL
HDL-PL,0.77 [0.70-0.85],0.032,*,Phospholipids in HDL
M-LDL-FC,0.77 [0.70-0.85],0.022,*,Free Cholesterol in Medium LDL
S-VLDL-FC,0.77 [0.70-0.85],0.038,*,Free Cholesterol in Small VLDL
LDL-PL,0.77 [0.70-0.84],0.009,**,Phospholipids in LDL
L-LDL-CE%,0.77 [0.70-0.84],7.345e-04,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-CE,0.77 [0.69-0.84],0.018,*,Cholesteryl Esters in Medium HDL
L-LDL-PL,0.77 [0.70-0.84],0.006,**,Phospholipids in Large LDL
S-LDL-C,0.76 [0.69-0.84],0.011,*,Cholesterol in Small LDL
Non-HDL-C,0.76 [0.70-0.84],0.001,**,Total-Cholesterol Minus HDL-C
HDL-L,0.76 [0.69-0.84],0.009,**,Total-Lipids in HDL
M-VLDL-FC,0.76 [0.69-0.84],0.016,*,Free Cholesterol in Medium VLDL
M-HDL-C,0.76 [0.69-0.84],0.010,**,Cholesterol in Medium HDL
L-LDL-L,0.76 [0.69-0.83],9.064e-04,***,Total-Lipids in Large LDL
