Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.21 [1.17-1.24],6.207e-29,***,Glycoprotein Acetyls
MUFA%,1.20 [1.16-1.23],5.575e-25,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.18 [1.15-1.21],1.160e-24,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.18 [1.14-1.21],3.664e-23,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.17 [1.13-1.20],3.319e-20,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.16 [1.13-1.19],7.094e-20,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.16 [1.12-1.19],4.809e-18,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.15 [1.12-1.18],3.925e-15,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.15 [1.12-1.18],2.518e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.15 [1.11-1.18],5.313e-14,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,1.14 [1.11-1.18],2.409e-10,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,1.14 [1.10-1.17],2.670e-11,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.14 [1.10-1.17],1.820e-12,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.13 [1.10-1.17],1.337e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.13 [1.10-1.17],2.799e-11,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,1.13 [1.10-1.16],1.998e-10,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.12 [1.09-1.16],6.453e-10,***,Triglycerides in Small HDL
L-HDL-TG%,1.12 [1.09-1.15],2.857e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.12 [1.08-1.15],3.361e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-TG,1.11 [1.08-1.14],5.738e-07,***,Triglycerides in Very Large VLDL
S-VLDL-TG,1.11 [1.07-1.14],1.581e-06,***,Triglycerides in Small VLDL
Total-TG,1.10 [1.07-1.13],2.474e-05,***,Total-Triglycerides
VLDL-size,1.10 [1.07-1.14],7.241e-05,***,Average Diameter for VLDL Particles
S-LDL-TG,1.10 [1.07-1.13],3.514e-06,***,Triglycerides in Small LDL
XXL-VLDL-PL,1.10 [1.07-1.13],6.138e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,1.10 [1.07-1.13],5.335e-06,***,Triglycerides in Very Small VLDL
XXL-VLDL-L,1.10 [1.07-1.13],1.073e-05,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.10 [1.07-1.13],5.779e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
VLDL-TG,1.10 [1.07-1.13],4.465e-05,***,Triglycerides in VLDL
XXL-VLDL-TG,1.10 [1.07-1.13],1.160e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
MUFA,1.10 [1.07-1.13],1.098e-04,***,Monounsaturated Fatty Acids
M-LDL-TG,1.10 [1.07-1.13],2.008e-05,***,Triglycerides in Medium LDL
XXL-VLDL-FC,1.10 [1.06-1.13],8.329e-05,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,1.10 [1.06-1.13],2.143e-04,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.09 [1.06-1.13],1.308e-04,***,Concentration of Very Large VLDL Particles
XXL-VLDL-C,1.09 [1.06-1.12],3.496e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
SFA%,1.09 [1.06-1.12],8.463e-04,***,Saturated Fatty Acids to Total-Fatty Acids percentage
LDL-TG,1.09 [1.06-1.12],3.183e-04,***,Triglycerides in LDL
XXL-VLDL-CE,1.09 [1.06-1.12],0.002,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
HDL-TG,1.09 [1.06-1.12],0.002,**,Triglycerides in HDL
L-VLDL-TG,1.09 [1.06-1.12],0.003,**,Triglycerides in Large VLDL
L-VLDL-PL,1.09 [1.05-1.12],0.007,**,Phospholipids in Large VLDL
XL-VLDL-PL,1.09 [1.05-1.12],0.006,**,Phospholipids in Very Large VLDL
M-HDL-TG,1.08 [1.05-1.12],0.005,**,Triglycerides in Medium HDL
L-LDL-TG,1.08 [1.05-1.12],0.004,**,Triglycerides in Large LDL
IDL-PL%,1.08 [1.05-1.12],0.006,**,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-P,1.08 [1.05-1.12],0.010,*,Concentration of Large VLDL Particles
IDL-TG,1.08 [1.05-1.11],0.012,*,Triglycerides in IDL
L-LDL-PL,0.93 [0.90-0.95],0.041,*,Phospholipids in Large LDL
Total-C,0.93 [0.90-0.95],0.018,*,Total-Cholesterol
XS-VLDL-CE,0.93 [0.90-0.95],0.018,*,Cholesteryl Esters in Very Small VLDL
IDL-PL,0.93 [0.90-0.95],0.015,*,Phospholipids in IDL
