Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.29 [1.21-1.38],9.748e-10,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.28 [1.20-1.36],1.203e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,1.26 [1.18-1.35],3.506e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-TG%,1.24 [1.17-1.32],1.919e-06,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.24 [1.17-1.33],6.828e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Creatinine,1.23 [1.16-1.31],1.357e-06,***,Creatinine
M-HDL-PL%,1.22 [1.15-1.31],1.182e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-TG%,1.22 [1.14-1.29],2.825e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
TG/PG,1.21 [1.14-1.30],9.704e-04,***,Triglycerides to Phosphoglycerides ratio
M-VLDL-TG%,1.21 [1.13-1.29],0.004,**,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.20 [1.12-1.28],0.028,*,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.19 [1.12-1.27],0.019,*,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.19 [1.11-1.27],0.041,*,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.18 [1.11-1.26],0.029,*,Triglycerides to Total-Lipids in Medium LDL percentage
XL-HDL-PL%,0.86 [0.81-0.91],0.033,*,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-FC%,0.85 [0.80-0.90],0.002,**,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA%,0.84 [0.79-0.90],0.030,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Total-L,0.84 [0.79-0.90],0.015,*,Total-Lipids in Lipoprotein Particles
