Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.36 [1.29-1.44],7.917e-25,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.31 [1.25-1.38],1.552e-20,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-TG%,1.30 [1.23-1.37],2.012e-17,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-VLDL-TG%,1.29 [1.22-1.37],3.046e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
VLDL-size,1.27 [1.21-1.34],7.064e-14,***,Average Diameter for VLDL Particles
Creatinine,1.27 [1.21-1.33],1.514e-18,***,Creatinine
M-HDL-PL%,1.26 [1.20-1.33],2.132e-14,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.26 [1.20-1.33],3.717e-14,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
TG/PG,1.26 [1.20-1.33],2.125e-13,***,Triglycerides to Phosphoglycerides ratio
L-HDL-PL%,1.26 [1.20-1.33],6.687e-15,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.24 [1.18-1.30],6.383e-11,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.22 [1.16-1.29],1.333e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.22 [1.15-1.28],5.794e-08,***,Glycoprotein Acetyls
IDL-TG%,1.21 [1.15-1.27],6.869e-09,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-TG%,1.21 [1.14-1.27],1.407e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.20 [1.14-1.27],1.273e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.19 [1.13-1.25],2.681e-06,***,Triglycerides to Total-Lipids in Small LDL percentage
L-LDL-TG%,1.18 [1.12-1.24],1.870e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-PL%,1.18 [1.11-1.25],0.014,*,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,1.18 [1.12-1.24],4.303e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-TG%,1.17 [1.11-1.23],0.002,**,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.17 [1.11-1.23],5.999e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-L,1.17 [1.11-1.22],2.273e-04,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.17 [1.11-1.22],1.288e-04,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.16 [1.11-1.22],3.387e-04,***,Triglycerides in Very Large VLDL
XL-HDL-C%,1.15 [1.10-1.21],0.003,**,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL,1.15 [1.09-1.21],0.005,**,Phospholipids in Chylomicrons and Extremely Large VLDL
M-LDL-TG%,1.15 [1.09-1.20],0.014,*,Triglycerides to Total-Lipids in Medium LDL percentage
XXL-VLDL-P,1.14 [1.09-1.20],0.009,**,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-L,1.14 [1.09-1.20],0.032,*,Total-Lipids in Very Large VLDL
LDL-L,0.88 [0.84-0.92],0.037,*,Total-Lipids in LDL
IDL-FC%,0.88 [0.83-0.92],0.014,*,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.87 [0.83-0.91],0.002,**,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LDL-C,0.87 [0.83-0.91],0.007,**,LDL Cholesterol
M-LDL-C%,0.87 [0.83-0.91],8.556e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-PL,0.87 [0.83-0.91],0.017,*,Phospholipids in Very Small VLDL
S-VLDL-CE%,0.87 [0.83-0.91],0.002,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Total-L,0.87 [0.83-0.91],0.002,**,Total-Lipids in Lipoprotein Particles
LA,0.87 [0.82-0.91],0.002,**,Linoleic Acid
Non-HDL-C,0.87 [0.82-0.91],0.001,**,Total-Cholesterol Minus HDL-C
Remnant-C,0.86 [0.82-0.91],7.125e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-C%,0.86 [0.82-0.90],1.277e-04,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-C,0.86 [0.82-0.91],0.002,**,Cholesterol in Medium VLDL
Clinical LDL-C,0.86 [0.82-0.90],2.443e-04,***,Clinical LDL Cholesterol
L-LDL-CE,0.86 [0.82-0.90],2.756e-04,***,Cholesteryl Esters in Large LDL
XS-VLDL-P,0.86 [0.81-0.90],7.694e-04,***,Concentration of Very Small VLDL Particles
L-LDL-PL,0.86 [0.81-0.90],1.734e-04,***,Phospholipids in Large LDL
Omega-6%,0.86 [0.81-0.90],2.221e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL,0.86 [0.81-0.90],7.318e-04,***,Phospholipids in Medium HDL
L-LDL-L,0.85 [0.81-0.90],5.328e-05,***,Total-Lipids in Large LDL
XS-VLDL-L,0.85 [0.81-0.90],1.653e-04,***,Total-Lipids in Very Small VLDL
LDL-size,0.85 [0.81-0.90],4.099e-05,***,Average Diameter for LDL Particles
XXL-VLDL-C%,0.85 [0.81-0.90],0.002,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.85 [0.81-0.89],6.002e-05,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C,0.85 [0.81-0.89],1.256e-05,***,Cholesterol in Large LDL
Omega-6,0.85 [0.81-0.89],1.778e-05,***,Omega-6 Fatty Acids
IDL-P,0.85 [0.81-0.89],3.430e-05,***,Concentration of IDL Particles
LDL-FC,0.85 [0.80-0.89],6.677e-06,***,Free Cholesterol in LDL
Gly,0.84 [0.80-0.89],4.992e-04,***,Glycine
XS-VLDL-FC,0.84 [0.80-0.89],1.305e-05,***,Free Cholesterol in Very Small VLDL
M-LDL-FC%,0.84 [0.80-0.88],8.377e-07,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-L,0.84 [0.80-0.88],3.859e-06,***,Total-Lipids in Medium HDL
XL-HDL-PL%,0.84 [0.80-0.87],5.839e-10,***,Phospholipids to Total-Lipids in Very Large HDL percentage
