Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.13 [1.10-1.15],6.445e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.12 [1.10-1.15],3.018e-15,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.12 [1.09-1.15],1.283e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
GlycA,1.11 [1.08-1.14],1.694e-10,***,Glycoprotein Acetyls
MUFA%,1.11 [1.08-1.14],9.956e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.11 [1.08-1.14],9.394e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-PL%,1.11 [1.08-1.13],3.209e-10,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.10 [1.08-1.13],4.004e-10,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.10 [1.07-1.13],1.198e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.10 [1.07-1.13],1.704e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,1.10 [1.07-1.13],2.794e-06,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.09 [1.06-1.12],3.541e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.08 [1.06-1.11],1.685e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.07 [1.05-1.10],0.007,**,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.07 [1.04-1.10],0.017,*,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.07 [1.04-1.10],0.049,*,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-PL%,1.07 [1.04-1.09],0.041,*,Phospholipids to Total-Lipids in IDL percentage
LDL-L,0.94 [0.92-0.96],0.027,*,Total-Lipids in LDL
LDL-PL,0.94 [0.91-0.96],0.022,*,Phospholipids in LDL
Non-HDL-C,0.94 [0.91-0.96],0.013,*,Total-Cholesterol Minus HDL-C
Total-FC,0.94 [0.91-0.96],0.014,*,Total-Free Cholesterol
IDL-PL,0.94 [0.91-0.96],0.017,*,Phospholipids in IDL
M-HDL-CE%,0.94 [0.91-0.96],0.026,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-CE%,0.94 [0.91-0.96],0.016,*,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-HDL-C%,0.94 [0.91-0.96],0.017,*,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-CE,0.94 [0.91-0.96],0.011,*,Cholesteryl Esters in Large LDL
L-HDL-CE%,0.93 [0.91-0.96],0.011,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-P,0.93 [0.91-0.96],0.007,**,Concentration of IDL Particles
IDL-FC%,0.93 [0.91-0.96],0.004,**,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-CE%,0.93 [0.91-0.96],0.003,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LDL-C,0.93 [0.91-0.96],0.003,**,LDL Cholesterol
L-LDL-L,0.93 [0.91-0.96],0.003,**,Total-Lipids in Large LDL
L-VLDL-C%,0.93 [0.91-0.96],0.004,**,Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-CE%,0.93 [0.91-0.95],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.93 [0.91-0.95],5.587e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.93 [0.91-0.95],0.003,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-FC,0.93 [0.91-0.95],0.001,**,Free Cholesterol in Small LDL
L-LDL-C,0.93 [0.91-0.95],5.945e-04,***,Cholesterol in Large LDL
M-LDL-FC,0.93 [0.91-0.95],8.245e-04,***,Free Cholesterol in Medium LDL
L-LDL-PL,0.93 [0.91-0.95],6.041e-04,***,Phospholipids in Large LDL
