Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.24 [1.18-1.31],6.235e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.23 [1.17-1.30],8.137e-10,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.22 [1.16-1.29],2.868e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.21 [1.14-1.27],1.308e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.21 [1.14-1.27],9.729e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-TG%,1.19 [1.13-1.26],1.223e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.18 [1.12-1.25],1.599e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.18 [1.12-1.25],3.966e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.17 [1.11-1.23],0.001,**,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.16 [1.10-1.23],0.007,**,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-FC%,0.88 [0.84-0.92],0.047,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Phosphoglyc,0.87 [0.82-0.92],0.031,*,Phosphoglycerides
VLDL-CE,0.87 [0.82-0.92],0.037,*,Cholesteryl Esters in VLDL
S-LDL-P,0.87 [0.82-0.91],0.034,*,Concentration of Small LDL Particles
Total-P,0.86 [0.82-0.91],0.023,*,Total-Concentration of Lipoprotein Particles
M-LDL-P,0.86 [0.81-0.91],0.013,*,Concentration of Medium LDL Particles
PUFA%,0.86 [0.82-0.91],0.004,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE%,0.86 [0.82-0.90],4.409e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
PC,0.86 [0.81-0.91],0.003,**,Phosphatidylcholines
M-VLDL-FC,0.86 [0.81-0.91],0.007,**,Free Cholesterol in Medium VLDL
S-VLDL-FC,0.86 [0.81-0.91],0.007,**,Free Cholesterol in Small VLDL
SM,0.86 [0.81-0.90],0.002,**,Sphingomyelins
S-LDL-CE,0.86 [0.81-0.90],0.003,**,Cholesteryl Esters in Small LDL
S-LDL-PL,0.86 [0.81-0.90],0.003,**,Phospholipids in Small LDL
Cholines,0.86 [0.81-0.90],9.203e-04,***,Total-Cholines
