Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.20 [1.16-1.23],4.684e-29,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.15 [1.12-1.19],4.434e-18,***,Glycoprotein Acetyls
M-HDL-PL%,1.15 [1.12-1.19],3.603e-19,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-TG%,1.15 [1.12-1.18],4.730e-18,***,Triglycerides to Total-Lipids in IDL percentage
TG/PG,1.14 [1.11-1.17],6.463e-16,***,Triglycerides to Phosphoglycerides ratio
XS-VLDL-TG%,1.14 [1.11-1.17],4.122e-16,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.14 [1.11-1.17],2.098e-15,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.14 [1.11-1.17],6.640e-14,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-FC%,1.14 [1.11-1.17],1.629e-14,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.14 [1.10-1.17],3.998e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-TG%,1.14 [1.10-1.17],8.239e-15,***,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-TG%,1.13 [1.10-1.17],9.045e-14,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,1.13 [1.10-1.16],1.715e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.13 [1.10-1.16],5.639e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-PL%,1.12 [1.09-1.16],6.796e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.12 [1.09-1.15],4.359e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.12 [1.09-1.15],2.550e-11,***,Triglycerides to Total-Lipids in Small LDL percentage
L-VLDL-PL%,1.12 [1.08-1.15],3.796e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
S-VLDL-TG%,1.12 [1.09-1.15],1.246e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-size,1.11 [1.08-1.15],7.135e-09,***,Average Diameter for VLDL Particles
M-LDL-TG%,1.11 [1.09-1.14],3.244e-10,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG,1.10 [1.07-1.13],7.982e-07,***,Triglycerides in Small HDL
XXL-VLDL-L,1.10 [1.07-1.13],1.845e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.10 [1.07-1.13],1.972e-06,***,Triglycerides in Very Large VLDL
XXL-VLDL-TG,1.10 [1.07-1.12],2.430e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,1.10 [1.07-1.12],2.893e-06,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.09 [1.06-1.12],7.145e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-L,1.09 [1.06-1.12],5.655e-05,***,Total-Lipids in Very Large VLDL
XXL-VLDL-FC,1.09 [1.06-1.12],4.047e-05,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,1.09 [1.06-1.12],6.285e-05,***,Concentration of Very Large VLDL Particles
VLDL-TG,1.09 [1.06-1.12],1.742e-04,***,Triglycerides in VLDL
XXL-VLDL-C,1.09 [1.06-1.12],1.381e-04,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.09 [1.06-1.11],4.996e-04,***,Phospholipids in Very Large VLDL
L-VLDL-PL,1.08 [1.06-1.11],8.405e-04,***,Phospholipids in Large VLDL
Total-TG,1.08 [1.06-1.11],0.001,**,Total-Triglycerides
XXL-VLDL-CE,1.08 [1.06-1.11],8.416e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-P,1.08 [1.05-1.11],0.007,**,Concentration of Large VLDL Particles
XL-VLDL-FC,1.08 [1.05-1.11],0.010,*,Free Cholesterol in Very Large VLDL
L-VLDL-TG,1.08 [1.05-1.11],0.011,*,Triglycerides in Large VLDL
L-VLDL-L,1.08 [1.05-1.11],0.021,*,Total-Lipids in Large VLDL
L-VLDL-FC,1.08 [1.05-1.11],0.019,*,Free Cholesterol in Large VLDL
S-VLDL-TG,1.07 [1.05-1.10],0.036,*,Triglycerides in Small VLDL
L-LDL-L,0.93 [0.91-0.96],0.032,*,Total-Lipids in Large LDL
L-LDL-PL,0.93 [0.91-0.96],0.032,*,Phospholipids in Large LDL
Clinical LDL-C,0.93 [0.91-0.96],0.014,*,Clinical LDL Cholesterol
M-VLDL-CE,0.93 [0.90-0.95],0.013,*,Cholesteryl Esters in Medium VLDL
Omega-3,0.93 [0.90-0.96],0.043,*,Omega-3 Fatty Acids
PUFA,0.93 [0.90-0.95],0.013,*,Polyunsaturated Fatty Acids
M-HDL-PL,0.93 [0.90-0.95],0.016,*,Phospholipids in Medium HDL
L-LDL-C,0.93 [0.90-0.95],0.004,**,Cholesterol in Large LDL
Phosphoglyc,0.93 [0.90-0.95],0.003,**,Phosphoglycerides
XS-VLDL-CE,0.92 [0.90-0.95],0.002,**,Cholesteryl Esters in Very Small VLDL
Total-PL,0.92 [0.90-0.95],8.892e-04,***,Total-Phospholipids in Lipoprotein Particles
Total-FC,0.92 [0.90-0.95],6.932e-04,***,Total-Free Cholesterol
XXL-VLDL-C%,0.92 [0.90-0.95],0.009,**,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-FC,0.92 [0.90-0.95],2.169e-04,***,Free Cholesterol in LDL
XL-HDL-PL%,0.92 [0.90-0.94],4.256e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-LDL-C%,0.92 [0.90-0.94],7.491e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
Albumin,0.92 [0.89-0.94],1.628e-04,***,Albumin
PC,0.92 [0.89-0.94],7.993e-05,***,Phosphatidylcholines
L-VLDL-C%,0.92 [0.89-0.94],7.940e-05,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC%,0.92 [0.89-0.94],4.324e-06,***,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-PL,0.92 [0.89-0.94],1.795e-05,***,Phospholipids in IDL
Cholines,0.92 [0.89-0.94],2.025e-05,***,Total-Cholines
Omega-3%,0.91 [0.89-0.94],7.737e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-L,0.91 [0.89-0.94],5.081e-05,***,Total-Lipids in Medium HDL
M-LDL-C%,0.91 [0.89-0.94],1.651e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.91 [0.89-0.94],3.388e-04,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SM,0.91 [0.89-0.94],4.231e-06,***,Sphingomyelins
L-LDL-FC,0.91 [0.89-0.94],2.572e-06,***,Free Cholesterol in Large LDL
Total-C,0.91 [0.89-0.94],8.682e-07,***,Total-Cholesterol
