Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.09 [1.07-1.11],4.599e-13,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.08 [1.06-1.11],4.660e-12,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.08 [1.06-1.10],5.491e-12,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.08 [1.06-1.10],5.026e-11,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.08 [1.06-1.10],1.496e-09,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.07 [1.05-1.09],1.959e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.06 [1.04-1.08],3.788e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.06 [1.04-1.08],0.002,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,1.06 [1.04-1.08],8.236e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.06 [1.04-1.08],0.003,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-VLDL-C%,0.95 [0.93-0.97],0.036,*,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-L,0.95 [0.93-0.97],0.024,*,Total-Lipids in Small HDL
M-HDL-C%,0.95 [0.93-0.97],0.026,*,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-CE,0.95 [0.93-0.97],0.047,*,Cholesteryl Esters in HDL
S-LDL-P,0.95 [0.93-0.97],0.012,*,Concentration of Small LDL Particles
Phosphoglyc,0.95 [0.93-0.97],0.009,**,Phosphoglycerides
SM,0.95 [0.93-0.96],0.001,**,Sphingomyelins
S-HDL-FC,0.95 [0.93-0.96],0.001,**,Free Cholesterol in Small HDL
PC,0.95 [0.93-0.96],7.633e-04,***,Phosphatidylcholines
PUFA/MUFA,0.95 [0.93-0.96],0.005,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-C%,0.95 [0.93-0.96],7.272e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-C,0.94 [0.93-0.96],1.994e-04,***,Cholesterol in Medium VLDL
L-LDL-P,0.94 [0.93-0.96],2.148e-04,***,Concentration of Large LDL Particles
HDL-P,0.94 [0.93-0.96],3.802e-04,***,Concentration of HDL Particles
Cholines,0.94 [0.93-0.96],1.477e-04,***,Total-Cholines
LDL-P,0.94 [0.93-0.96],1.096e-04,***,Concentration of LDL Particles
ApoB,0.94 [0.93-0.96],6.970e-05,***,Apolipoprotein B
M-LDL-P,0.94 [0.92-0.96],9.394e-05,***,Concentration of Medium LDL Particles
IDL-PL,0.94 [0.92-0.96],4.185e-05,***,Phospholipids in IDL
Total-PL,0.94 [0.92-0.96],3.286e-05,***,Total-Phospholipids in Lipoprotein Particles
Remnant-C,0.94 [0.92-0.96],1.996e-05,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-P,0.94 [0.92-0.96],2.612e-05,***,Concentration of IDL Particles
M-HDL-FC%,0.94 [0.92-0.96],6.311e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-L,0.94 [0.92-0.96],1.382e-05,***,Total-Lipids in Lipoprotein Particles
L-LDL-FC%,0.94 [0.92-0.96],1.418e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.94 [0.92-0.96],8.852e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE,0.94 [0.92-0.96],9.142e-06,***,Cholesteryl Esters in Medium VLDL
XL-HDL-CE%,0.94 [0.92-0.96],3.803e-06,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Albumin,0.94 [0.92-0.96],7.633e-06,***,Albumin
S-LDL-PL,0.94 [0.92-0.96],4.621e-06,***,Phospholipids in Small LDL
PUFA,0.94 [0.92-0.96],2.909e-06,***,Polyunsaturated Fatty Acids
Total-P,0.94 [0.92-0.96],4.953e-06,***,Total-Concentration of Lipoprotein Particles
S-HDL-P,0.94 [0.92-0.96],3.331e-06,***,Concentration of Small HDL Particles
XS-VLDL-CE%,0.94 [0.92-0.95],8.413e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-LDL-CE,0.94 [0.92-0.95],1.328e-06,***,Cholesteryl Esters in Small LDL
M-LDL-CE,0.94 [0.92-0.95],1.030e-06,***,Cholesteryl Esters in Medium LDL
Omega-6,0.94 [0.92-0.95],6.259e-07,***,Omega-6 Fatty Acids
S-LDL-L,0.94 [0.92-0.95],6.489e-07,***,Total-Lipids in Small LDL
M-LDL-C%,0.94 [0.92-0.95],9.539e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C,0.94 [0.92-0.95],3.901e-07,***,Cholesterol in Small HDL
S-VLDL-FC%,0.93 [0.92-0.95],2.187e-07,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-CE,0.93 [0.92-0.95],2.629e-07,***,Cholesteryl Esters in Small HDL
S-VLDL-PL%,0.93 [0.92-0.95],2.716e-07,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-FC,0.93 [0.92-0.95],1.039e-07,***,Free Cholesterol in IDL
M-LDL-L,0.93 [0.92-0.95],8.426e-08,***,Total-Lipids in Medium LDL
Non-HDL-C,0.93 [0.92-0.95],1.817e-08,***,Total-Cholesterol Minus HDL-C
