Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.26 [1.14-1.38],0.877,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.14 [1.04-1.25],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.09 [0.99-1.21],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.04 [0.95-1.15],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.03 [0.93-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.97 [0.88-1.07],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.96 [0.87-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.95 [0.87-1.05],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.95 [0.87-1.05],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.92 [0.83-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
