Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.20 [1.15-1.25],1.769e-13,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.19 [1.14-1.24],1.310e-11,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.19 [1.14-1.24],1.031e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.18 [1.13-1.23],5.368e-08,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.18 [1.13-1.22],1.136e-09,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.17 [1.12-1.23],5.359e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.17 [1.13-1.22],5.882e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.17 [1.12-1.22],1.716e-07,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-PL%,1.16 [1.11-1.21],3.642e-07,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.16 [1.10-1.21],4.826e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
GlycA,1.15 [1.11-1.21],1.777e-05,***,Glycoprotein Acetyls
XL-HDL-TG%,1.14 [1.09-1.19],1.871e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG,1.14 [1.09-1.19],1.283e-04,***,Triglycerides in Small HDL
XS-VLDL-PL%,1.14 [1.09-1.18],8.360e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.13 [1.09-1.18],8.912e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.13 [1.08-1.17],0.002,**,Triglycerides in Medium HDL
S-HDL-TG%,1.12 [1.07-1.17],0.041,*,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.12 [1.07-1.16],0.013,*,Triglycerides in Very Small VLDL
HDL-TG,1.11 [1.07-1.16],0.030,*,Triglycerides in HDL
IDL-C,0.90 [0.86-0.93],0.045,*,Cholesterol in IDL
