Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-FC%,1.43 [1.30-1.58],1.700e-07,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,1.43 [1.31-1.56],9.248e-10,***,Total-Lipids in HDL
HDL-PL,1.42 [1.30-1.55],1.099e-09,***,Phospholipids in HDL
HDL-C,1.42 [1.30-1.55],2.806e-09,***,HDL Cholesterol
L-HDL-L,1.41 [1.29-1.54],2.596e-09,***,Total-Lipids in Large HDL
HDL-FC,1.41 [1.29-1.53],4.556e-10,***,Free Cholesterol in HDL
L-HDL-PL,1.41 [1.29-1.53],1.757e-09,***,Phospholipids in Large HDL
HDL-CE,1.41 [1.29-1.54],9.503e-09,***,Cholesteryl Esters in HDL
ApoA1,1.39 [1.27-1.52],4.582e-08,***,Apolipoprotein A1
M-HDL-FC,1.39 [1.27-1.51],7.933e-09,***,Free Cholesterol in Medium HDL
L-HDL-C,1.39 [1.27-1.51],2.287e-08,***,Cholesterol in Large HDL
PC,1.38 [1.26-1.51],3.127e-07,***,Phosphatidylcholines
M-HDL-L,1.38 [1.26-1.51],1.650e-07,***,Total-Lipids in Medium HDL
L-HDL-CE,1.38 [1.27-1.50],4.686e-08,***,Cholesteryl Esters in Large HDL
Gly,1.38 [1.27-1.50],1.460e-09,***,Glycine
HDL-size,1.38 [1.26-1.51],1.689e-07,***,Average Diameter for HDL Particles
L-HDL-FC,1.38 [1.27-1.50],8.219e-09,***,Free Cholesterol in Large HDL
M-HDL-C,1.38 [1.26-1.50],1.579e-07,***,Cholesterol in Medium HDL
XL-HDL-PL%,1.37 [1.22-1.54],0.020,*,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-P,1.37 [1.26-1.49],1.249e-08,***,Concentration of Large HDL Particles
M-HDL-PL,1.37 [1.25-1.49],2.624e-07,***,Phospholipids in Medium HDL
M-HDL-CE,1.37 [1.25-1.49],4.337e-07,***,Cholesteryl Esters in Medium HDL
M-HDL-P,1.37 [1.26-1.49],8.769e-08,***,Concentration of Medium HDL Particles
Cholines,1.36 [1.25-1.49],2.005e-06,***,Total-Cholines
Phosphoglyc,1.35 [1.24-1.48],6.683e-06,***,Phosphoglycerides
HDL-P,1.33 [1.22-1.44],1.298e-05,***,Concentration of HDL Particles
Total-P,1.33 [1.22-1.44],1.664e-05,***,Total-Concentration of Lipoprotein Particles
XL-HDL-PL,1.32 [1.21-1.43],1.624e-05,***,Phospholipids in Very Large HDL
XL-HDL-CE,1.32 [1.21-1.43],1.609e-05,***,Cholesteryl Esters in Very Large HDL
XL-HDL-L,1.32 [1.21-1.43],2.619e-05,***,Total-Lipids in Very Large HDL
Total-PL,1.31 [1.20-1.44],3.374e-04,***,Total-Phospholipids in Lipoprotein Particles
SM,1.31 [1.20-1.43],1.115e-04,***,Sphingomyelins
XL-HDL-C,1.30 [1.20-1.42],1.157e-04,***,Cholesterol in Very Large HDL
XL-HDL-P,1.30 [1.19-1.41],9.480e-05,***,Concentration of Very Large HDL Particles
XS-VLDL-CE,1.25 [1.15-1.36],0.021,*,Cholesteryl Esters in Very Small VLDL
Leu,0.76 [0.69-0.84],0.022,*,Leucine
Total-BCAA,0.75 [0.68-0.83],0.007,**,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.75 [0.68-0.83],0.004,**,Valine
Creatinine,0.69 [0.62-0.76],6.428e-09,***,Creatinine
XL-HDL-FC%,0.67 [0.61-0.75],4.560e-09,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
