Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.05 [0.92-1.20],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,1.05 [0.93-1.18],1.000,,Cholesteryl Esters in LDL
Remnant-C,1.03 [0.91-1.15],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,1.02 [0.91-1.14],1.000,,VLDL Cholesterol
Total-C,1.01 [0.89-1.14],1.000,,Total-Cholesterol
PUFA,0.96 [0.85-1.09],1.000,,Polyunsaturated Fatty Acids
Total-FA,0.96 [0.85-1.08],1.000,,Total-Fatty Acids
SFA,0.95 [0.84-1.08],1.000,,Saturated Fatty Acids
M-LDL-TG%,0.93 [0.83-1.05],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Albumin,0.93 [0.83-1.04],1.000,,Albumin
