Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.11 [1.01-1.22],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.01 [0.90-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,1.00 [0.90-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.00 [0.89-1.12],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.00 [0.89-1.13],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-CE%,0.97 [0.88-1.07],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-FC%,0.97 [0.87-1.07],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-TG%,0.96 [0.86-1.07],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG%,0.95 [0.86-1.06],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,0.87 [0.79-0.97],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
