Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Leu,1.14 [1.01-1.28],1.000,,Leucine
Total-BCAA,1.12 [0.99-1.25],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.08 [0.96-1.22],1.000,,Valine
ApoB/ApoA1,1.04 [0.93-1.17],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,1.01 [0.90-1.15],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
LA%,0.75 [0.66-0.85],0.839,,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-FC,0.74 [0.66-0.84],0.959,,Free Cholesterol in Very Large HDL
XL-HDL-PL,0.73 [0.64-0.83],0.876,,Phospholipids in Very Large HDL
XL-HDL-C,0.73 [0.64-0.83],0.738,,Cholesterol in Very Large HDL
XL-HDL-L,0.73 [0.63-0.83],0.672,,Total-Lipids in Very Large HDL
