Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.47 [1.37-1.58],6.500e-22,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,1.35 [1.25-1.45],6.067e-11,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,1.34 [1.25-1.45],1.084e-09,***,Average Diameter for VLDL Particles
MUFA%,1.33 [1.24-1.44],5.798e-09,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,1.33 [1.24-1.42],4.392e-12,***,Creatinine
XL-HDL-TG%,1.32 [1.23-1.42],4.367e-09,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.31 [1.21-1.40],7.625e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.29 [1.20-1.39],4.768e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL%,1.29 [1.18-1.41],0.006,**,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.28 [1.19-1.37],1.120e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.27 [1.18-1.37],4.315e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-C%,1.26 [1.18-1.34],2.237e-06,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.26 [1.15-1.37],0.037,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,1.25 [1.17-1.35],1.543e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-TG%,1.25 [1.16-1.35],0.001,**,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.24 [1.15-1.33],0.002,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.23 [1.15-1.32],0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-L,1.21 [1.13-1.29],0.008,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.21 [1.13-1.29],0.010,*,Triglycerides in Very Large VLDL
XL-VLDL-L,1.21 [1.13-1.29],0.022,*,Total-Lipids in Very Large VLDL
XXL-VLDL-PL,1.20 [1.13-1.28],0.010,**,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.20 [1.12-1.28],0.011,*,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,1.20 [1.12-1.28],0.031,*,Concentration of Very Large VLDL Particles
XXL-VLDL-P,1.19 [1.12-1.27],0.024,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-VLDL-FC%,0.83 [0.77-0.89],0.028,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.83 [0.78-0.89],0.008,**,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-CE%,0.83 [0.78-0.88],2.909e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE,0.82 [0.76-0.89],0.036,*,Cholesteryl Esters in Very Small VLDL
