Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.12 [1.08-1.17],0.010,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-FC%,1.07 [1.02-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C%,1.06 [1.02-1.11],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.05 [1.01-1.09],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.01 [0.96-1.06],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-FC,0.89 [0.86-0.93],0.009,**,Free Cholesterol in Small HDL
Ile,0.89 [0.85-0.93],0.037,*,Isoleucine
LDL-C,0.89 [0.85-0.93],0.030,*,LDL Cholesterol
LDL-PL,0.89 [0.85-0.93],0.035,*,Phospholipids in LDL
L-LDL-PL,0.89 [0.85-0.93],0.040,*,Phospholipids in Large LDL
LDL-L,0.89 [0.85-0.93],0.010,**,Total-Lipids in LDL
VLDL-L,0.89 [0.85-0.93],0.018,*,Total-Lipids in VLDL
L-LDL-C,0.89 [0.85-0.93],0.015,*,Cholesterol in Large LDL
S-LDL-L,0.89 [0.85-0.93],0.023,*,Total-Lipids in Small LDL
LDL-CE,0.89 [0.85-0.92],0.007,**,Cholesteryl Esters in LDL
IDL-CE,0.89 [0.85-0.93],0.037,*,Cholesteryl Esters in IDL
IDL-C,0.88 [0.85-0.93],0.035,*,Cholesterol in IDL
L-LDL-L,0.88 [0.85-0.92],0.005,**,Total-Lipids in Large LDL
SM,0.88 [0.84-0.92],0.017,*,Sphingomyelins
M-VLDL-C,0.88 [0.84-0.92],0.016,*,Cholesterol in Medium VLDL
L-LDL-CE,0.88 [0.84-0.92],0.004,**,Cholesteryl Esters in Large LDL
M-VLDL-L,0.88 [0.84-0.92],0.004,**,Total-Lipids in Medium VLDL
S-LDL-PL,0.88 [0.84-0.92],0.008,**,Phospholipids in Small LDL
Non-HDL-C,0.88 [0.84-0.92],0.002,**,Total-Cholesterol Minus HDL-C
LA,0.88 [0.84-0.92],8.631e-04,***,Linoleic Acid
S-VLDL-TG,0.88 [0.84-0.92],0.009,**,Triglycerides in Small VLDL
ApoB,0.88 [0.84-0.92],0.002,**,Apolipoprotein B
VLDL-C,0.88 [0.84-0.92],0.001,**,VLDL Cholesterol
VLDL-CE,0.88 [0.84-0.92],0.002,**,Cholesteryl Esters in VLDL
S-VLDL-CE,0.88 [0.84-0.92],0.003,**,Cholesteryl Esters in Small VLDL
LDL-P,0.88 [0.84-0.92],0.004,**,Concentration of LDL Particles
M-VLDL-P,0.88 [0.84-0.92],0.004,**,Concentration of Medium VLDL Particles
VLDL-PL,0.88 [0.84-0.92],0.002,**,Phospholipids in VLDL
S-VLDL-C,0.88 [0.84-0.92],0.001,**,Cholesterol in Small VLDL
M-VLDL-PL,0.87 [0.84-0.91],0.001,**,Phospholipids in Medium VLDL
