Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.14 [1.04-1.26],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.11 [1.03-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-C%,1.10 [1.01-1.19],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-CE%,1.07 [0.97-1.18],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.05 [0.95-1.15],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.99 [0.91-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.98 [0.90-1.06],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,0.96 [0.88-1.04],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.93 [0.86-1.01],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-3,0.80 [0.73-0.88],0.299,,Omega-3 Fatty Acids
