Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-C%,1.20 [0.98-1.48],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,1.18 [0.96-1.45],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-FC%,1.13 [0.89-1.43],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.00 [0.82-1.23],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.00 [0.79-1.28],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.00 [0.79-1.26],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.99 [0.83-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.97 [0.78-1.21],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.94 [0.76-1.15],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,0.89 [0.72-1.10],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
