Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.26 [1.16-1.38],0.039,*,Glycoprotein Acetyls
Remnant-C,1.05 [0.97-1.15],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,1.05 [0.97-1.14],1.000,,Total-Cholesterol Minus HDL-C
Total-C,1.04 [0.96-1.13],1.000,,Total-Cholesterol
M-LDL-PL%,1.02 [0.94-1.11],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-C,0.98 [0.90-1.07],1.000,,HDL Cholesterol
HDL-CE,0.98 [0.90-1.07],1.000,,Cholesteryl Esters in HDL
Total-BCAA,0.97 [0.89-1.06],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.97 [0.89-1.06],1.000,,Valine
M-LDL-FC%,0.90 [0.83-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
