Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,1.45 [1.36-1.54],1.100e-23,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,1.32 [1.24-1.40],7.101e-14,***,Creatinine
TG/PG,1.30 [1.22-1.39],4.879e-10,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,1.29 [1.21-1.39],2.311e-08,***,Average Diameter for VLDL Particles
XL-VLDL-TG%,1.27 [1.17-1.37],0.002,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.26 [1.18-1.35],3.674e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.26 [1.18-1.35],6.675e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.24 [1.16-1.32],1.093e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
Leu,1.24 [1.16-1.32],2.136e-06,***,Leucine
XL-HDL-TG%,1.24 [1.16-1.32],4.699e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.23 [1.15-1.32],1.372e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-TG%,1.23 [1.15-1.32],1.402e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
Total-BCAA,1.23 [1.16-1.31],2.420e-05,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-HDL-C%,1.23 [1.15-1.30],1.219e-05,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Val,1.22 [1.15-1.30],2.135e-04,***,Valine
S-HDL-TG%,1.21 [1.13-1.30],0.007,**,Triglycerides to Total-Lipids in Small HDL percentage
MUFA%,1.21 [1.13-1.29],0.014,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG,1.19 [1.11-1.26],0.015,*,Triglycerides in Very Large VLDL
XXL-VLDL-TG,1.18 [1.11-1.25],0.019,*,Triglycerides in Chylomicrons and Extremely Large VLDL
Ile,1.18 [1.11-1.25],0.040,*,Isoleucine
S-VLDL-PL%,0.84 [0.79-0.90],0.044,*,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.84 [0.79-0.89],0.010,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-C,0.84 [0.79-0.89],0.009,**,Total-Cholesterol
IDL-CE,0.84 [0.78-0.89],0.013,*,Cholesteryl Esters in IDL
IDL-L,0.83 [0.78-0.89],0.009,**,Total-Lipids in IDL
IDL-C,0.83 [0.78-0.89],0.008,**,Cholesterol in IDL
Total-CE,0.83 [0.78-0.88],0.002,**,Total-Esterified Cholesterol
L-HDL-CE%,0.83 [0.78-0.88],2.003e-05,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-C%,0.83 [0.78-0.88],0.002,**,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-FC,0.83 [0.78-0.89],0.007,**,Free Cholesterol in IDL
M-VLDL-PL%,0.83 [0.78-0.88],3.383e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,0.83 [0.77-0.89],0.010,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC%,0.83 [0.78-0.87],2.442e-06,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-FC%,0.82 [0.77-0.88],0.018,*,Free Cholesterol to Total-Lipids in Small HDL percentage
