Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-TG%,1.20 [1.07-1.34],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.19 [1.07-1.33],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.16 [1.04-1.29],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.08 [0.97-1.21],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.02 [0.91-1.14],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.86 [0.78-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.86 [0.77-0.95],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.85 [0.77-0.93],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.84 [0.76-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.84 [0.76-0.93],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
