Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.31 [1.09-1.58],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.21 [0.99-1.48],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.21 [1.00-1.46],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.09 [0.90-1.33],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.04 [0.85-1.28],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.95 [0.77-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.85 [0.71-1.02],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.84 [0.69-1.01],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.84 [0.69-1.01],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.83 [0.68-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
