Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-FC%,1.07 [0.92-1.25],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,1.07 [0.91-1.24],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.05 [0.90-1.23],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.05 [0.90-1.23],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.02 [0.88-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.98 [0.84-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,0.97 [0.83-1.14],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.97 [0.83-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.96 [0.82-1.12],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.96 [0.82-1.12],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
