Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.07 [1.06-1.09],2.777e-17,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.07 [1.05-1.08],6.511e-15,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.07 [1.05-1.08],1.341e-13,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.06 [1.05-1.08],1.774e-11,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,1.06 [1.05-1.08],3.708e-12,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,1.06 [1.05-1.08],1.670e-11,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-LDL-TG%,1.06 [1.04-1.07],1.508e-10,***,Triglycerides to Total-Lipids in Medium LDL percentage
XL-VLDL-TG%,1.06 [1.04-1.07],1.345e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,1.06 [1.04-1.07],1.788e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.05 [1.04-1.07],2.355e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.05 [1.03-1.06],3.293e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
TG/PG,1.05 [1.03-1.06],6.841e-05,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG%,1.05 [1.03-1.06],3.401e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.04 [1.03-1.06],0.002,**,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.04 [1.03-1.06],0.006,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.04 [1.03-1.06],0.045,*,Glycoprotein Acetyls
Remnant-C,0.96 [0.95-0.98],0.041,*,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.96 [0.95-0.98],0.025,*,Total-Cholesterol Minus HDL-C
M-LDL-FC,0.96 [0.95-0.98],0.027,*,Free Cholesterol in Medium LDL
L-LDL-L,0.96 [0.95-0.98],0.013,*,Total-Lipids in Large LDL
M-VLDL-C,0.96 [0.95-0.97],0.004,**,Cholesterol in Medium VLDL
L-LDL-C,0.96 [0.95-0.97],0.004,**,Cholesterol in Large LDL
Omega-6/Omega-3,0.96 [0.95-0.97],0.006,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-P,0.96 [0.95-0.97],6.140e-04,***,Concentration of IDL Particles
IDL-CE%,0.96 [0.95-0.97],5.271e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-C,0.96 [0.95-0.97],0.001,**,Cholesterol in Very Small VLDL
M-HDL-C%,0.96 [0.95-0.97],0.003,**,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.96 [0.95-0.97],0.001,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-FC,0.96 [0.95-0.97],4.829e-04,***,Total-Free Cholesterol
L-LDL-PL,0.96 [0.95-0.97],3.586e-04,***,Phospholipids in Large LDL
Clinical LDL-C,0.96 [0.95-0.97],1.884e-04,***,Clinical LDL Cholesterol
SM,0.96 [0.94-0.97],0.002,**,Sphingomyelins
L-HDL-PL,0.96 [0.94-0.97],0.048,*,Phospholipids in Large HDL
Citrate,0.96 [0.94-0.97],0.002,**,Citrate
PUFA%,0.96 [0.94-0.97],4.287e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-FC,0.96 [0.94-0.97],0.009,**,Free Cholesterol in HDL
LA,0.96 [0.94-0.97],4.276e-05,***,Linoleic Acid
PUFA/MUFA,0.96 [0.94-0.97],6.956e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Gln,0.96 [0.94-0.97],6.675e-05,***,Glutamine
LDL-FC,0.96 [0.94-0.97],2.516e-05,***,Free Cholesterol in LDL
M-HDL-FC%,0.96 [0.94-0.97],0.002,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C%,0.95 [0.94-0.97],2.330e-05,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE,0.95 [0.94-0.97],1.522e-05,***,Cholesteryl Esters in Very Small VLDL
Total-C,0.95 [0.94-0.97],9.676e-06,***,Total-Cholesterol
IDL-PL,0.95 [0.94-0.97],6.059e-06,***,Phospholipids in IDL
IDL-L,0.95 [0.94-0.97],3.047e-06,***,Total-Lipids in IDL
Total-CE,0.95 [0.94-0.97],2.773e-06,***,Total-Esterified Cholesterol
XL-HDL-PL,0.95 [0.94-0.97],8.170e-04,***,Phospholipids in Very Large HDL
XS-VLDL-FC%,0.95 [0.94-0.96],7.406e-08,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE,0.95 [0.94-0.97],4.830e-07,***,Cholesteryl Esters in Medium VLDL
L-HDL-CE%,0.95 [0.94-0.97],8.947e-07,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-CE%,0.95 [0.94-0.96],1.353e-07,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-FC,0.95 [0.94-0.97],5.640e-05,***,Free Cholesterol in Very Large HDL
HDL-C,0.95 [0.94-0.97],1.892e-04,***,HDL Cholesterol
L-HDL-L,0.95 [0.94-0.97],5.463e-04,***,Total-Lipids in Large HDL
L-LDL-FC,0.95 [0.94-0.96],3.715e-07,***,Free Cholesterol in Large LDL
HDL-CE,0.95 [0.94-0.97],8.391e-05,***,Cholesteryl Esters in HDL
IDL-CE,0.95 [0.94-0.96],2.805e-07,***,Cholesteryl Esters in IDL
L-HDL-C%,0.95 [0.94-0.96],3.878e-07,***,Cholesterol to Total-Lipids in Large HDL percentage
IDL-FC%,0.95 [0.94-0.96],1.417e-08,***,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-C%,0.95 [0.94-0.96],6.693e-08,***,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-C,0.95 [0.94-0.96],4.126e-08,***,Cholesterol in IDL
L-HDL-FC,0.95 [0.93-0.96],8.697e-05,***,Free Cholesterol in Large HDL
XL-HDL-L,0.95 [0.93-0.96],3.716e-05,***,Total-Lipids in Very Large HDL
