Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.05 [1.04-1.06],1.451e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.04 [1.03-1.05],4.878e-14,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.04 [1.03-1.05],4.344e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.04 [1.03-1.05],6.173e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-PL%,1.04 [1.03-1.05],2.237e-11,***,Phospholipids to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.04 [1.03-1.05],2.102e-10,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-TG%,1.04 [1.03-1.05],9.628e-09,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.04 [1.03-1.05],5.640e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.04 [1.03-1.05],3.616e-07,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,1.03 [1.02-1.04],6.831e-05,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.03 [1.02-1.04],6.196e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.03 [1.02-1.04],8.941e-04,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-FC%,0.98 [0.97-0.98],0.018,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-FA,0.98 [0.97-0.98],0.040,*,Total-Fatty Acids
L-VLDL-C%,0.97 [0.97-0.98],0.038,*,Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-CE%,0.97 [0.97-0.98],0.013,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XS-VLDL-FC,0.97 [0.97-0.98],0.024,*,Free Cholesterol in Very Small VLDL
S-VLDL-PL,0.97 [0.97-0.98],0.016,*,Phospholipids in Small VLDL
IDL-FC%,0.97 [0.97-0.98],0.012,*,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-CE%,0.97 [0.97-0.98],0.017,*,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
His,0.97 [0.97-0.98],0.017,*,Histidine
L-HDL-C%,0.97 [0.97-0.98],0.037,*,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE%,0.97 [0.97-0.98],0.027,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
VLDL-C,0.97 [0.96-0.98],0.003,**,VLDL Cholesterol
S-VLDL-C,0.97 [0.96-0.98],0.003,**,Cholesterol in Small VLDL
L-VLDL-CE%,0.97 [0.96-0.98],0.011,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-HDL-C%,0.97 [0.96-0.98],0.003,**,Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-P,0.97 [0.96-0.98],0.001,**,Concentration of Medium VLDL Particles
S-LDL-PL,0.97 [0.96-0.98],5.984e-04,***,Phospholipids in Small LDL
M-VLDL-PL,0.97 [0.96-0.98],5.865e-04,***,Phospholipids in Medium VLDL
Unsaturation,0.97 [0.96-0.98],0.006,**,Degree of Unsaturation
XL-VLDL-C%,0.97 [0.96-0.98],0.004,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-PL,0.97 [0.96-0.98],0.002,**,Phospholipids in Small HDL
XL-VLDL-CE%,0.97 [0.96-0.98],0.002,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,0.97 [0.96-0.98],0.001,**,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-CE,0.97 [0.96-0.98],0.028,*,Cholesteryl Esters in Large HDL
VLDL-CE,0.97 [0.96-0.98],2.730e-05,***,Cholesteryl Esters in VLDL
HDL-PL,0.97 [0.96-0.98],0.003,**,Phospholipids in HDL
M-HDL-L,0.97 [0.96-0.98],9.517e-04,***,Total-Lipids in Medium HDL
XL-HDL-CE%,0.97 [0.96-0.98],2.542e-05,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-FC,0.97 [0.96-0.98],6.423e-06,***,Free Cholesterol in Medium VLDL
S-VLDL-FC,0.97 [0.96-0.98],6.690e-06,***,Free Cholesterol in Small VLDL
S-LDL-P,0.97 [0.96-0.98],3.048e-06,***,Concentration of Small LDL Particles
M-VLDL-CE%,0.97 [0.96-0.98],2.955e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.97 [0.96-0.98],1.011e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-L,0.97 [0.96-0.98],6.406e-06,***,Total-Lipids in Small HDL
L-LDL-P,0.97 [0.96-0.98],4.400e-07,***,Concentration of Large LDL Particles
XS-VLDL-C,0.97 [0.96-0.98],1.268e-06,***,Cholesterol in Very Small VLDL
M-HDL-P,0.97 [0.96-0.98],5.403e-05,***,Concentration of Medium HDL Particles
M-VLDL-C%,0.97 [0.96-0.98],5.834e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-L,0.97 [0.96-0.98],7.591e-08,***,Total-Lipids in Small LDL
M-VLDL-FC%,0.97 [0.96-0.98],1.776e-07,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-HDL-CE,0.97 [0.96-0.98],9.038e-06,***,Cholesteryl Esters in Medium HDL
M-HDL-FC,0.97 [0.96-0.98],1.827e-05,***,Free Cholesterol in Medium HDL
M-VLDL-PL%,0.97 [0.96-0.97],5.323e-08,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-HDL-C,0.97 [0.96-0.98],6.430e-06,***,Cholesterol in Medium HDL
LDL-P,0.97 [0.96-0.97],1.903e-08,***,Concentration of LDL Particles
ApoB,0.97 [0.96-0.97],6.984e-09,***,Apolipoprotein B
HDL-L,0.97 [0.96-0.98],8.344e-06,***,Total-Lipids in HDL
XS-VLDL-CE,0.96 [0.96-0.97],2.264e-08,***,Cholesteryl Esters in Very Small VLDL
S-HDL-FC,0.96 [0.96-0.97],6.378e-08,***,Free Cholesterol in Small HDL
HDL-FC,0.96 [0.95-0.97],2.338e-06,***,Free Cholesterol in HDL
S-LDL-CE,0.96 [0.95-0.97],3.918e-10,***,Cholesteryl Esters in Small LDL
M-LDL-PL,0.96 [0.95-0.97],3.609e-10,***,Phospholipids in Medium LDL
S-LDL-FC,0.96 [0.95-0.97],1.850e-10,***,Free Cholesterol in Small LDL
ApoA1,0.96 [0.95-0.97],1.259e-07,***,Apolipoprotein A1
M-VLDL-C,0.96 [0.95-0.97],9.837e-11,***,Cholesterol in Medium VLDL
L-LDL-FC%,0.96 [0.95-0.97],4.946e-10,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-P,0.96 [0.95-0.97],1.303e-10,***,Concentration of Medium LDL Particles
IDL-CE%,0.96 [0.95-0.97],6.846e-11,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Remnant-C,0.96 [0.95-0.97],4.191e-11,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-C%,0.96 [0.95-0.97],3.269e-10,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-P,0.96 [0.95-0.97],5.925e-11,***,Concentration of IDL Particles
S-LDL-C,0.96 [0.95-0.97],4.783e-11,***,Cholesterol in Small LDL
Total-L,0.96 [0.95-0.97],7.543e-11,***,Total-Lipids in Lipoprotein Particles
M-LDL-CE,0.96 [0.95-0.97],4.974e-11,***,Cholesteryl Esters in Medium LDL
M-LDL-L,0.96 [0.95-0.97],3.368e-11,***,Total-Lipids in Medium LDL
XS-VLDL-CE%,0.96 [0.95-0.97],1.597e-10,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.96 [0.95-0.97],2.793e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-FC%,0.96 [0.95-0.97],3.433e-11,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.96 [0.95-0.97],4.248e-11,***,Phospholipids to Total-Lipids in Small VLDL percentage
Gln,0.96 [0.95-0.97],5.523e-11,***,Glutamine
L-LDL-C%,0.96 [0.95-0.97],4.645e-11,***,Cholesterol to Total-Lipids in Large LDL percentage
Phosphoglyc,0.96 [0.95-0.97],3.181e-10,***,Phosphoglycerides
S-HDL-P,0.96 [0.95-0.97],5.026e-11,***,Concentration of Small HDL Particles
M-LDL-C,0.96 [0.95-0.97],1.267e-12,***,Cholesterol in Medium LDL
