Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.18 [1.16-1.20],2.078e-103,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.17 [1.15-1.18],8.691e-103,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.16 [1.15-1.18],1.606e-96,***,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.16 [1.14-1.17],1.030e-91,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.16 [1.14-1.17],1.237e-96,***,Triglycerides to Total-Lipids in Medium LDL percentage
GlycA,1.14 [1.12-1.15],1.343e-57,***,Glycoprotein Acetyls
XS-VLDL-TG%,1.12 [1.10-1.13],1.798e-48,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,1.11 [1.09-1.12],1.920e-39,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.11 [1.09-1.12],4.779e-39,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.10 [1.08-1.11],2.894e-35,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.10 [1.08-1.11],2.195e-29,***,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,1.09 [1.07-1.10],1.217e-26,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-TG%,1.09 [1.07-1.10],9.339e-25,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,1.08 [1.06-1.09],3.968e-17,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,1.07 [1.06-1.09],2.611e-15,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.07 [1.06-1.09],9.774e-16,***,Phospholipids to Total-Lipids in Large HDL percentage
Glu-lactate,1.06 [1.05-1.08],6.266e-13,***,Glucose-lactate
Creatinine,1.06 [1.05-1.08],2.189e-08,***,Creatinine
Ala,1.06 [1.04-1.08],5.758e-06,***,Alanine
Glu,1.06 [1.04-1.07],6.106e-10,***,Glucose
XL-HDL-PL%,1.06 [1.04-1.07],6.249e-07,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Gly,1.06 [1.04-1.07],1.881e-07,***,Glycine
XXL-VLDL-PL%,1.05 [1.04-1.07],1.659e-07,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-TG%,1.05 [1.04-1.07],7.029e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
Sc-ala,1.05 [1.03-1.06],4.138e-06,***,Spectrometer-corrected alanine
M-LDL-PL%,1.05 [1.03-1.06],6.280e-06,***,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,1.05 [1.03-1.06],4.349e-06,***,Phenylalanine
LDL-TG,0.96 [0.95-0.98],0.038,*,Triglycerides in LDL
S-LDL-TG,0.96 [0.95-0.98],0.019,*,Triglycerides in Small LDL
