Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.79 [2.33-3.34],2.783e-23,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,2.39 [2.11-2.71],2.547e-36,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,2.35 [2.08-2.65],7.139e-38,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,2.30 [2.06-2.56],6.376e-44,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.20 [1.99-2.42],1.225e-49,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.12 [1.93-2.34],2.439e-47,***,Triglycerides to Total-Lipids in Large LDL percentage
Glu-lactate,2.05 [1.89-2.23],2.420e-57,***,Glucose-lactate
XS-VLDL-PL%,2.05 [1.84-2.28],5.370e-34,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,2.01 [1.83-2.21],5.764e-42,***,Triglycerides to Total-Lipids in Medium LDL percentage
Glu,1.98 [1.80-2.18],3.523e-39,***,Glucose
Ala,1.93 [1.71-2.17],1.377e-22,***,Alanine
S-LDL-TG%,1.84 [1.66-2.03],5.631e-28,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.82 [1.66-1.99],7.021e-33,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.71 [1.55-1.90],1.533e-19,***,Phospholipids to Total-Lipids in Medium HDL percentage
Sc-ala,1.71 [1.55-1.88],7.932e-23,***,Spectrometer-corrected alanine
MUFA%,1.62 [1.45-1.81],1.345e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,1.62 [1.43-1.83],5.581e-09,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-TG%,1.60 [1.42-1.80],9.767e-10,***,Triglycerides to Total-Lipids in Small HDL percentage
L-HDL-TG%,1.55 [1.39-1.73],2.219e-09,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.55 [1.39-1.73],2.339e-09,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,1.54 [1.38-1.71],9.902e-10,***,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-PL%,1.49 [1.35-1.65],5.814e-09,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-TG%,1.47 [1.31-1.66],3.648e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.41 [1.26-1.58],3.696e-04,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Val,1.33 [1.19-1.47],0.033,*,Valine
L-VLDL-FC%,0.74 [0.66-0.82],0.016,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-L,0.74 [0.66-0.82],0.010,**,Total-Lipids in Medium VLDL
S-HDL-FC,0.73 [0.65-0.82],0.011,*,Free Cholesterol in Small HDL
S-HDL-CE%,0.72 [0.66-0.79],7.968e-06,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-LDL-FC%,0.72 [0.67-0.78],1.121e-10,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-PL%,0.72 [0.66-0.79],1.285e-07,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-HDL-CE%,0.72 [0.65-0.79],1.120e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-LDL-CE%,0.70 [0.64-0.78],2.198e-06,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-P,0.70 [0.63-0.79],2.305e-04,***,Concentration of Small HDL Particles
XS-VLDL-PL,0.70 [0.62-0.78],3.659e-04,***,Phospholipids in Very Small VLDL
M-HDL-CE,0.70 [0.62-0.79],0.003,**,Cholesteryl Esters in Medium HDL
M-HDL-C,0.69 [0.61-0.78],0.002,**,Cholesterol in Medium HDL
