Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.12 [1.94-2.31],2.106e-60,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,2.11 [1.99-2.24],4.635e-137,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,2.09 [1.97-2.23],1.051e-114,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,2.09 [1.96-2.22],6.851e-106,***,Triglycerides to Total-Lipids in Small VLDL percentage
Glu-lactate,2.05 [1.96-2.14],6.957e-206,***,Glucose-lactate
Glu,2.01 [1.91-2.12],4.662e-150,***,Glucose
IDL-TG%,1.96 [1.86-2.06],8.835e-135,***,Triglycerides to Total-Lipids in IDL percentage
Ala,1.91 [1.80-2.04],7.389e-88,***,Alanine
L-LDL-TG%,1.86 [1.77-1.96],3.470e-117,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.83 [1.73-1.93],2.681e-91,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.77 [1.69-1.87],3.918e-105,***,Triglycerides to Total-Lipids in Medium LDL percentage
Sc-ala,1.69 [1.61-1.78],3.717e-87,***,Spectrometer-corrected alanine
L-HDL-PL%,1.66 [1.58-1.75],4.140e-86,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.59 [1.51-1.68],2.922e-62,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.47 [1.39-1.56],5.210e-38,***,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,1.46 [1.38-1.55],1.152e-30,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-TG%,1.46 [1.37-1.55],4.035e-27,***,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.44 [1.37-1.53],7.049e-33,***,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,1.38 [1.30-1.47],3.645e-21,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,1.38 [1.30-1.47],5.105e-18,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-TG%,1.36 [1.28-1.45],4.706e-18,***,Triglycerides to Total-Lipids in Small HDL percentage
Val,1.36 [1.29-1.43],8.104e-23,***,Valine
XL-HDL-TG%,1.35 [1.27-1.42],1.531e-19,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-LDL-PL%,1.32 [1.25-1.40],3.622e-16,***,Phospholipids to Total-Lipids in Small LDL percentage
L-HDL-TG%,1.32 [1.25-1.40],8.541e-16,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.31 [1.24-1.39],2.404e-14,***,Triglycerides to Phosphoglycerides ratio
Total-BCAA,1.31 [1.24-1.38],2.550e-17,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.25 [1.18-1.31],4.747e-11,***,Leucine
Lactate,1.23 [1.16-1.30],4.082e-07,***,Lactate
M-HDL-TG%,1.23 [1.16-1.30],7.663e-06,***,Triglycerides to Total-Lipids in Medium HDL percentage
GlycA,1.22 [1.15-1.29],4.473e-05,***,Glycoprotein Acetyls
Ile,1.21 [1.15-1.28],7.244e-08,***,Isoleucine
M-LDL-PL%,1.21 [1.14-1.28],1.288e-04,***,Phospholipids to Total-Lipids in Medium LDL percentage
Citrate,1.20 [1.13-1.27],2.493e-04,***,Citrate
VLDL-size,1.18 [1.11-1.25],0.018,*,Average Diameter for VLDL Particles
S-HDL-CE%,0.87 [0.82-0.91],0.040,*,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Gln,0.86 [0.81-0.90],0.016,*,Glutamine
XL-HDL-PL%,0.85 [0.81-0.90],6.433e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
M-HDL-CE%,0.85 [0.81-0.90],6.530e-04,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
DHA,0.84 [0.79-0.89],0.009,**,Docosahexaenoic Acid
Unsaturation,0.84 [0.79-0.88],1.979e-04,***,Degree of Unsaturation
L-VLDL-FC%,0.84 [0.79-0.89],2.875e-04,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-CE%,0.83 [0.79-0.88],3.235e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gly,0.83 [0.78-0.89],0.048,*,Glycine
PUFA%,0.83 [0.79-0.88],3.150e-06,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL,0.82 [0.77-0.87],6.034e-06,***,Phospholipids in Small HDL
VLDL-L,0.81 [0.77-0.86],2.426e-07,***,Total-Lipids in VLDL
L-VLDL-C,0.81 [0.77-0.86],2.174e-06,***,Cholesterol in Large VLDL
S-VLDL-P,0.81 [0.76-0.86],7.770e-07,***,Concentration of Small VLDL Particles
Omega-6%,0.81 [0.77-0.85],9.770e-11,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-C,0.80 [0.76-0.85],2.004e-07,***,Cholesterol in Very Large VLDL
S-HDL-L,0.80 [0.76-0.85],2.015e-08,***,Total-Lipids in Small HDL
S-LDL-FC%,0.80 [0.76-0.83],2.144e-17,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C%,0.80 [0.75-0.84],1.326e-11,***,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-PL,0.79 [0.74-0.84],7.913e-09,***,Phospholipids in Medium HDL
XXL-VLDL-C%,0.78 [0.73-0.84],9.289e-08,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.78 [0.74-0.82],6.099e-18,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-C%,0.77 [0.73-0.81],9.381e-16,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-L,0.77 [0.72-0.81],8.931e-14,***,Total-Lipids in Small VLDL
SFA,0.77 [0.72-0.81],1.512e-15,***,Saturated Fatty Acids
PUFA/MUFA,0.76 [0.72-0.81],1.895e-14,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
