Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,1.71 [1.60-1.83],4.004e-51,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XS-VLDL-TG%,1.69 [1.62-1.78],9.645e-100,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Glu-lactate,1.67 [1.61-1.74],1.791e-133,***,Glucose-lactate
M-VLDL-TG%,1.67 [1.58-1.75],7.484e-82,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,1.65 [1.57-1.74],2.569e-76,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-TG%,1.65 [1.58-1.72],9.493e-106,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.61 [1.54-1.68],3.400e-97,***,Triglycerides to Total-Lipids in Large LDL percentage
Glu,1.61 [1.53-1.68],2.885e-89,***,Glucose
XS-VLDL-PL%,1.55 [1.48-1.63],7.801e-68,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.55 [1.49-1.62],1.099e-86,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.50 [1.44-1.57],1.269e-73,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,1.48 [1.41-1.54],1.261e-62,***,Triglycerides to Total-Lipids in Small LDL percentage
Ala,1.46 [1.38-1.54],3.921e-36,***,Alanine
M-HDL-PL%,1.43 [1.37-1.50],9.263e-47,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.38 [1.31-1.45],6.865e-31,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,1.36 [1.29-1.43],4.409e-30,***,Triglycerides to Phosphoglycerides ratio
Sc-ala,1.36 [1.30-1.42],2.482e-36,***,Spectrometer-corrected alanine
XL-HDL-TG%,1.34 [1.28-1.40],3.810e-28,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,1.33 [1.26-1.39],5.655e-24,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,1.31 [1.25-1.38],1.468e-20,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.30 [1.24-1.37],6.260e-22,***,Triglycerides to Total-Lipids in Large HDL percentage
IDL-PL%,1.29 [1.23-1.35],1.453e-22,***,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-TG%,1.29 [1.22-1.35],3.298e-17,***,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.28 [1.22-1.35],1.126e-16,***,Triglycerides to Total-Lipids in Medium HDL percentage
VLDL-size,1.26 [1.20-1.32],7.378e-14,***,Average Diameter for VLDL Particles
GlycA,1.23 [1.17-1.29],1.167e-10,***,Glycoprotein Acetyls
Val,1.22 [1.16-1.28],6.586e-11,***,Valine
S-HDL-TG,1.21 [1.16-1.27],1.590e-11,***,Triglycerides in Small HDL
XL-VLDL-TG,1.19 [1.14-1.24],1.829e-09,***,Triglycerides in Very Large VLDL
XXL-VLDL-TG,1.18 [1.13-1.24],2.224e-09,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG%,1.18 [1.11-1.25],0.012,*,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-BCAA,1.18 [1.12-1.23],2.236e-06,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-L,1.17 [1.12-1.23],2.590e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,1.17 [1.12-1.22],2.055e-07,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,1.17 [1.12-1.22],1.051e-07,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Lactate,1.17 [1.11-1.22],4.876e-05,***,Lactate
S-VLDL-TG,1.16 [1.11-1.22],1.164e-05,***,Triglycerides in Small VLDL
VLDL-TG,1.16 [1.10-1.21],2.097e-04,***,Triglycerides in VLDL
S-LDL-PL%,1.15 [1.10-1.21],0.004,**,Phospholipids to Total-Lipids in Small LDL percentage
Total-TG,1.15 [1.10-1.20],7.914e-04,***,Total-Triglycerides
XXL-VLDL-FC,1.14 [1.10-1.19],3.717e-04,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,1.14 [1.09-1.19],5.306e-04,***,Triglycerides in Very Small VLDL
Leu,1.14 [1.09-1.19],0.008,**,Leucine
