Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.43 [1.35-1.52],7.290e-30,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.43 [1.36-1.51],9.946e-36,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.41 [1.34-1.48],3.655e-34,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.40 [1.33-1.48],3.155e-31,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.33 [1.25-1.40],1.489e-17,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.31 [1.24-1.39],1.692e-17,***,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-TG%,1.30 [1.23-1.38],4.984e-13,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.25 [1.19-1.32],2.690e-11,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.25 [1.18-1.32],3.473e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Creatinine,1.22 [1.16-1.30],1.976e-06,***,Creatinine
S-LDL-PL%,1.22 [1.15-1.29],4.963e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
GlycA,1.21 [1.14-1.28],1.219e-04,***,Glycoprotein Acetyls
XXL-VLDL-PL%,1.19 [1.12-1.27],0.013,*,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,1.18 [1.11-1.25],0.014,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,1.18 [1.11-1.25],0.012,*,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.17 [1.11-1.24],0.002,**,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.17 [1.10-1.24],0.020,*,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-C%,0.87 [0.83-0.92],0.020,*,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-FC%,0.87 [0.83-0.91],0.004,**,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-FC%,0.86 [0.82-0.90],3.616e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE%,0.86 [0.82-0.91],0.006,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-3,0.86 [0.81-0.91],0.047,*,Omega-3 Fatty Acids
M-VLDL-TG,0.85 [0.81-0.90],0.022,*,Triglycerides in Medium VLDL
XS-VLDL-PL,0.85 [0.80-0.90],0.013,*,Phospholipids in Very Small VLDL
L-HDL-FC%,0.85 [0.81-0.89],2.575e-05,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-P,0.85 [0.80-0.90],0.004,**,Concentration of Small VLDL Particles
ApoA1,0.84 [0.79-0.90],0.024,*,Apolipoprotein A1
S-HDL-C%,0.84 [0.80-0.89],1.023e-04,***,Cholesterol to Total-Lipids in Small HDL percentage
HDL-C,0.84 [0.79-0.89],0.031,*,HDL Cholesterol
Albumin,0.84 [0.80-0.88],1.656e-05,***,Albumin
S-VLDL-CE%,0.84 [0.80-0.88],3.570e-06,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LA%,0.84 [0.79-0.88],3.267e-05,***,Linoleic Acid to Total-Fatty Acids percentage
DHA,0.84 [0.79-0.89],0.001,**,Docosahexaenoic Acid
SFA,0.83 [0.79-0.88],5.042e-05,***,Saturated Fatty Acids
M-VLDL-CE%,0.83 [0.79-0.87],1.430e-10,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-C,0.83 [0.78-0.88],7.830e-05,***,Cholesterol in Very Large VLDL
L-VLDL-C,0.83 [0.78-0.88],6.759e-05,***,Cholesterol in Large VLDL
XL-HDL-CE%,0.83 [0.79-0.87],2.682e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
VLDL-L,0.83 [0.78-0.87],7.636e-06,***,Total-Lipids in VLDL
S-VLDL-L,0.82 [0.77-0.87],3.342e-06,***,Total-Lipids in Small VLDL
Total-FA,0.82 [0.78-0.87],7.476e-07,***,Total-Fatty Acids
M-LDL-CE%,0.82 [0.78-0.87],3.721e-07,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-PL,0.82 [0.77-0.87],2.822e-06,***,Phospholipids in Small HDL
XS-VLDL-L,0.81 [0.77-0.86],6.930e-07,***,Total-Lipids in Very Small VLDL
M-VLDL-C%,0.81 [0.77-0.85],4.820e-11,***,Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-PL,0.81 [0.77-0.86],2.275e-07,***,Phospholipids in VLDL
L-LDL-FC%,0.81 [0.77-0.85],1.842e-11,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-P,0.81 [0.76-0.85],1.090e-07,***,Concentration of Very Small VLDL Particles
M-VLDL-FC%,0.81 [0.77-0.85],3.364e-11,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-CE,0.81 [0.76-0.85],1.173e-07,***,Cholesteryl Esters in Large VLDL
XS-VLDL-FC,0.80 [0.76-0.85],4.644e-08,***,Free Cholesterol in Very Small VLDL
