Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.72 [1.61-1.83],5.201e-57,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.67 [1.57-1.77],5.853e-60,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.66 [1.57-1.76],2.232e-60,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.63 [1.54-1.72],3.007e-58,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.62 [1.52-1.72],2.861e-44,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.55 [1.45-1.66],4.748e-31,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.51 [1.41-1.61],8.958e-28,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-PL%,1.50 [1.41-1.60],2.368e-32,***,Phospholipids to Total-Lipids in IDL percentage
Glu-lactate,1.49 [1.41-1.57],1.298e-39,***,Glucose-lactate
S-LDL-PL%,1.45 [1.36-1.55],1.679e-25,***,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-TG%,1.39 [1.28-1.51],7.984e-10,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Ala,1.39 [1.29-1.50],3.405e-13,***,Alanine
S-LDL-TG%,1.38 [1.30-1.46],6.027e-21,***,Triglycerides to Total-Lipids in Small LDL percentage
Glu,1.38 [1.29-1.46],3.576e-19,***,Glucose
L-HDL-PL%,1.34 [1.26-1.42],1.768e-17,***,Phospholipids to Total-Lipids in Large HDL percentage
Sc-ala,1.31 [1.23-1.39],1.656e-13,***,Spectrometer-corrected alanine
XXL-VLDL-PL%,1.29 [1.20-1.39],4.125e-07,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-PL%,1.26 [1.18-1.35],1.465e-06,***,Phospholipids to Total-Lipids in Medium LDL percentage
MUFA%,1.24 [1.16-1.33],4.208e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.23 [1.16-1.31],3.354e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,1.21 [1.13-1.29],0.016,*,Free Cholesterol to Total-Lipids in Very Large HDL percentage
