Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.29 [1.19-1.40],1.831e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.28 [1.19-1.38],3.296e-05,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.28 [1.19-1.38],3.760e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.26 [1.17-1.36],1.318e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.25 [1.16-1.36],0.007,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.81 [0.76-0.88],0.021,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
LDL-L,0.81 [0.75-0.88],0.045,*,Total-Lipids in LDL
L-LDL-L,0.81 [0.75-0.88],0.044,*,Total-Lipids in Large LDL
S-VLDL-PL%,0.81 [0.75-0.88],0.037,*,Phospholipids to Total-Lipids in Small VLDL percentage
LDL-CE,0.81 [0.75-0.88],0.040,*,Cholesteryl Esters in LDL
L-LDL-C,0.81 [0.75-0.87],0.022,*,Cholesterol in Large LDL
LDL-C,0.81 [0.75-0.87],0.014,*,LDL Cholesterol
IDL-L,0.81 [0.75-0.87],0.023,*,Total-Lipids in IDL
Non-HDL-C,0.81 [0.75-0.87],0.009,**,Total-Cholesterol Minus HDL-C
L-LDL-PL,0.81 [0.75-0.87],0.028,*,Phospholipids in Large LDL
IDL-FC,0.80 [0.74-0.87],0.027,*,Free Cholesterol in IDL
LDL-FC,0.80 [0.74-0.87],0.015,*,Free Cholesterol in LDL
IDL-CE%,0.80 [0.75-0.86],3.649e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.80 [0.75-0.86],1.027e-04,***,Cholesterol to Total-Lipids in IDL percentage
Total-FC,0.80 [0.74-0.87],0.009,**,Total-Free Cholesterol
L-LDL-C%,0.80 [0.74-0.86],8.224e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
Clinical LDL-C,0.80 [0.74-0.86],0.002,**,Clinical LDL Cholesterol
L-LDL-FC,0.80 [0.74-0.86],0.008,**,Free Cholesterol in Large LDL
IDL-C,0.80 [0.74-0.86],0.003,**,Cholesterol in IDL
IDL-CE,0.79 [0.73-0.86],0.003,**,Cholesteryl Esters in IDL
XS-VLDL-C%,0.79 [0.74-0.85],9.391e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-C,0.79 [0.73-0.86],9.663e-04,***,Total-Cholesterol
Total-CE,0.79 [0.73-0.85],8.898e-04,***,Total-Esterified Cholesterol
XS-VLDL-CE%,0.79 [0.73-0.85],2.355e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.77 [0.72-0.83],2.226e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.77 [0.72-0.83],4.691e-07,***,Cholesterol to Total-Lipids in Small LDL percentage
