Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.11 [1.09-1.14],5.687e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.11 [1.08-1.13],1.480e-18,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.10 [1.08-1.13],1.377e-17,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.10 [1.08-1.12],2.531e-17,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.09 [1.07-1.11],2.072e-11,***,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL%,1.09 [1.06-1.11],2.659e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,1.08 [1.06-1.10],1.958e-07,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.07 [1.05-1.09],2.605e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-LDL-TG%,1.07 [1.05-1.09],1.053e-06,***,Triglycerides to Total-Lipids in Small LDL percentage
S-LDL-PL%,1.07 [1.05-1.09],7.414e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.06 [1.04-1.09],9.839e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.06 [1.04-1.08],0.006,**,Triglycerides to Total-Lipids in Small HDL percentage
IDL-FC%,0.95 [0.93-0.97],0.049,*,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-CE%,0.95 [0.93-0.97],0.036,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-FC,0.95 [0.93-0.97],0.035,*,Free Cholesterol in Small VLDL
M-HDL-CE%,0.95 [0.93-0.97],0.021,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Albumin,0.95 [0.93-0.97],0.029,*,Albumin
S-LDL-P,0.95 [0.93-0.97],0.016,*,Concentration of Small LDL Particles
M-VLDL-FC,0.95 [0.93-0.97],0.015,*,Free Cholesterol in Medium VLDL
XS-VLDL-CE,0.95 [0.93-0.96],0.015,*,Cholesteryl Esters in Very Small VLDL
